woord	huidige_omschrijving
MOEITE	Grote inspanning
PROCENT	Honderdste deel
TREKKEN	Voor het zwaartepunt
CONTROLE	Toezicht
ONTSTAAN	Verandering ondergaan
AARDE	Wereld
FEEST	Fijne bebeurtenis
WACHT	Plaats waar men waakt
TEVENS	Daarbij
HUWELIJK	Sacrament en verbond
BEGRIJPEN	Omvatten
GEVRAAGD	Waar men veel belang
STAND	Hoe of waar iets staat
VORIG	Degene die of datgene
BIEDEN	Kaartspel
BOUWEN	Constructie oprichten
TERECHT	Gegrond
ERVARING	Vorm van kennis
BEVOLKING	Alle inwoners
RONDE	Afgebakend onderdeel
KOSTEN	Vergen
SCHULD	Geldbedrag
OPDRACHT	Opgelegde verplichting
VERLATEN	Weggaan
OPLOSSING	Mengsel van een stof
BURGEMEESTER	Hoofd
GEZIN	Huishouden bestaande
STUUR	Hulpmiddel
MENING	Oordeel
NIVEAU	Rang in een hiërarchie
DRINKEN	Vloeistof nuttigen
VERLEDEN	Voorafgaande tijd
JEUGD	Jongeren
SCHIP	Groot vaartuig
AFSTAND	Ruimte die zich ergens
FUNCTIE	Positie
PERFECT	Zonder enig gebrek
PLANNEN	Tijdstip afspreken
RESPECT	Gevoel van bewondering
BLIJKBAAR	Duidelijk
FESTIVAL	Reeks optredens
SPECIAAL	Ongewoon
BESCHERMEN	Er zo goed mogelijk
ENORM	Buitensporig groot
LIJKEN	Bevallen
PRAAT	Spreken
ZWAAR	Van groot gewicht
MUSEUM	Gebouw
OOSTEN	Van de windstreken
SCHADE	Geheel
MAANDAG	Dag van de week
TOEGANG	Plaats
OVERZICHT	Toestand
BRIEF	Kort
HOPEN	Wensen
DAARBIJ	Bij dat
STRAKS	Op een later moment
WEGENS	Reden inleidend
BETAALD	Waar men geld
NERGENS	Als locatief deel
POSITIE	Stand van het lichaam
SLUITEN	Toedoen
DAARVOOR	Aanwijzend veraf
HIERDOOR	Door dit
LUISTEREN	Bevel opvolgen
STEUN	Sociale uitkering
BELLEN	Deurbel over laten gaan
MIDDEL	Iets met behulp
WINKEL	Plaats
HIERMEE	Met dit
SERIEUS	Ernstig
VERBAND	Strook stof
DAGELIJKS	Iedere dag voorkomend
GENERAAL	Algemeen
OPTREDEN	Kunstzinnig verschijnen
BEWIJS	Datgene wat de juistheid
BELEID	Plan van aanpak
BESTUUR	Manier
WEEKEND	Periode van vrijdagavond
BESLOTEN	Niet openbaar
BEWEGING	In de staat verkeren
VERKOPEN	Goederen
RESULTAAT	Uitkomst
REGELMATIG	Op gezette tijden
LIEVE	Bekrachtigen
SLAAN	Klap uitdelen
ZOVER	In die mate als
GEDRAG	Manier
PROCES	Geschil dat twee
VOEREN	Doen varen cf
KANTOOR	Instelling
VRIJHEID	Privilege
DIRECTEUR	Baas van een organisatie
GEZONDHEID	Welbevinden
FRANK	Stoutmoedig
TREIN	Rij wagons
WAARDE	Mogelijke opbrengst
BEPAALD	Nauwkeurig vastgesteld
NETWERK	Stelsel van zaken
STAPPEN	Avondje uit gaan
OPLEIDING	Vorm van onderwijs
VOORZITTER	Hoofd van een bestuur
BLEEK	Gering van kleur
ADVIES	Gegeven raad
JAMMER	Uitroep
NATUUR	Teelvocht
WINNAAR	Degene die een strijd
OPENBAAR	Vrij toegankelijk
OFFICIEEL	Erkend
VERDIENEN	Recht op een beloning
GRENS	Raaklijn
WAPEN	Werktuig van geweld
RECHTS	Betrekking hebbend
RIVIER	Natuurlijke waterstroom
BEKIJKEN	Ergens naar kijken
LOCATIE	Punt in de ruimte
STATION	Plaats
VERKEERD	Afwijkend
DONDERDAG	Dag van de week
KONINKRIJK	Staatsvorm
GEVANGENIS	Gebouw
ONDERTUSSEN	In de tussentijd
ANGST	Gevoel dat er onheil
TAFEL	Meestal rechthoekig
AANVAL	Plotselinge
BUREAU	Werkmeubel
CAMERA	Apparaat
LEIDING	Bepalen wat een groep
ADVOCAAT	Pleiter
TROUWENS	Overigens
VOORZIEN	Profetische blik hebben
HOOFDSTAD	Belangrijke stad
INTERVIEW	Vraaggesprek
MOMENTEEL	Tegenwoordig
VERLIEZEN	Iets kwijtraken
TOESTEMMING	Toezegging
GROEN	Secundaire kleur
HALLO	Groet
MODEL	Voorbeeld
FINALE	Beslissende wedstrijd
GEVAAR	Risico
INHOUD	Product van lengte
REIZEN	Onderweg zijn
RISICO	Kans op gevaar
STERKE	Mest
WESTEN	Van de windstreken
PREMIER	Minister
VERENIGING	Samenvoeging
ACHTERGROND	Letterlijk
HIERBIJ	Bij dit
INDRUK	Uitwerking
LASTIG	Met moeite
VLUCHT	Spanwijdte
ZOLANG	Gedurende de tijd
BESLUIT	Vastgestelde keuze
GERICHT	Gerecht
OCHTEND	Tijd rond
DAARDOOR	Door dat
COMMISSIE	Groep personen
KEREN	Andere zijde toewenden
REDDEN	Actie ondernemen
ONGELUK	Onvoorziene gebeurtenis
SOCIAAL	Betrekking hebbend
ABSOLUUT	Niet beschouwd
AFDELING	Groep van werknemers
WOENSDAG	Dag van de week
ONDERWERP	Waar iets over gaat
MOGELIJKHEID	Kans
TEKEN	Afgesproken gebaar
HIERVAN	Van dit
NOORDEN	Van de windstreken
VERVOER	Overbrenging
REKENING	Optelsom
INCLUSIEF	Met inbegrip van
VOORMALIG	Niet langer
AFLEVERING	Elk onderdeel
VOORSTELLEN	Geven
ZULKE	Wat een
BEROEP	Bezigheid
HUIZEN	Wonen
LEIDER	Helaas
ACCOUNT	Bankrekening
HIERVOOR	Aanwijzend dichtbij
BETREKKING	Band of relatie
UITGEBREID	Groot
KRANT	Klassiek massamedium
NOGAL	Tamelijk
SLAAP	Periode van inactiviteit
SLUIT	Gierig
VLEES	Spierweefsel
AARDIG	Aangenaam in omgang
ORANJE	Kleur van licht
VIEREN	Op plechtige
VRIJWEL	Zo goed als
GELEERD	Zich veel
KLEDING	Textiel voor de bedekking
AFSPRAAK	Overeenkomst
TOEGEVOEGD	Erbij gedaan
BESCHERMING	Beveiliging
FANTASTISCH	Geweldig en groots
MAATSCHAPPIJ	Vereniging
ONDERZOEKEN	Oorzaak of reden
OVERWINNING	Zege
SAMENLEVING	Bevolking
ALBUM	Stripverhaal in boekvorm
ALDUS	Volgens
NEGEN	Gehele getal tussen acht
VREDE	Ontbreken van oorlog
GELUID	Trillingen in de lucht
LACHEN	Geluid
NEUKEN	Stoten
STRAND	Strook
STUKJE	Kort verhaal of opstel
VREEMD	Van buiten
ZINGEN	Met de eigen stem
GEBOUWD	In het bezit
ONTWERP	Resultaat
BEZOEKEN	Iemand kwellen
REGEN	Neerslag
HONGER	Behoefte aan voedsel
SPELER	Deelnemer
BENEDEN	Op een plek die lager is
EENMAAL	Enkele keer
