woord	huidige_omschrijving
LITER	Inhoudsmaat
MATCH	Wedstrijd
SCHOT	Afvuren
TOCHT	Reis
ZESDE	Nummer zes in een rij
INZAKE	Waar het betreft
LEUGEN	Mededeling
SENIOR	Oudere
WASSEN	Iets met water
AANDEEL	Waardepapier
BOVENOP	Als iets extra's
CORRECT	Foutloos
DRANKJE	Vloeibaar medicament
MONSTER	Gedrocht
OVERDAG	Tijdens de uren
PROTEST	Uiting
VERLOOP	Weggaan van werknemers
ILLEGAAL	Buitenlander
KRACHTIG	Beschikkend
WETTELIJK	Tot de wet behorend
ARCHITECT	Ontwerper
BESTRIJDEN	Strijd aanbinden
KWETSBAAR	Weinig beschermd
OPSTELLEN	Op schrift zetten
REGISSEUR	Artistiek leider
SPECIFIEK	Op zichzelf staand
SPEELGOED	Één of meer voorwerpen
VERKRIJGEN	In bezit krijgen
APPARATUUR	Geheel aan toestellen
BEVORDEREN	Hogere rang verlenen
ONSCHULDIG	Niet schuldig
REGISTRATIE	Opnemen
BREIN	Verstand
DIENS	Van die
GEMAK	Op een rustige
HATEN	Ergens een hekel
PORNO	Afkorting
VERRE	In hoge mate
LADING	Goederen
MOSKEE	Gebedshuis van moslims
SECTIE	Afgezonderd deel
AANZIEN	Kijken naar
GEWENST	Wenselijk
KLOPPEN	Hoorbaar
OVERVAL	Plotselinge aanval
SCHELEN	Verschil maken
SOCIETY	Samenleving
WOESTIJN	Grote dorre vlakte
ACHTERAF	Na afloop
GEWIJZIGD	Veranderd
NEERSLAG	Hemelwater
RESEARCH	Onderzoek
CRIMINEEL	Met betrekking
DOORGAANS	In de meeste gevallen
JURIDISCH	Betrekking hebbend
OPPOSITIE	Tegenstand
BESTELLING	Verzoek of opdracht
CENTIMETER	Lengtemaat
EMOTIONEEL	Zeer vatbaar
EXPERIMENT	Proef
INSTRUMENT	Werktuig
OPRICHTING	Begin van iets
RECHTSZAAK	Geschil dat twee
REFERENDUM	Stemming
KLOTE	Beroerd
KOPIE	Afschrift
BAKKEN	Voedsel
FRAUDE	Bedrog
GEMEEN	Beneden de gordel
LIPPEN	Intoneren
SERVER	Computer
STEVIG	Fors
STIJGEN	Naar boven gaan
ZUSTER	Vrouwelijk kind
GERECHT	Lokale bestuursvorm
HIERAAN	Aan dit
KETTING	Stevige
LICHTEN	Bliksemen
PROEVEN	Smaak waarnemen
OPZOEKEN	Proberen te vinden
VOLKOMEN	Geheel en al
OPGEBOUWD	Gemaakt
VERBINDEN	Twee of meer onderdelen
VERWIJZING	Vermelding van een bron
WAARDEREN	Op prijs stellen
VRACHTWAGEN	Wagen
DELTA	Vierde letter
DRAAK	Open zeiljacht
FONDS	Vereniging
KROON	Hoofddeksel
NADER	Erg
PIANO	Algemene benaming
BALANS	Evenwicht
LETTER	Teken
OBJECT	Voorwerp
AANVANG	Begin
AMATEUR	Iemand die onervaren is
DODELIJK	Dood veroorzakend
UITGAAN	Ophouden met branden
VOEDING	Onderdeel
ZODANIG	Als antecedent
AANKOMST	Bestemming bereiken
TEKENING	Bouwkundig ontwerp
AANVRAGEN	Verzoeken
ACHTERUIT	Versnelling
DEPRESSIE	Gebied
HOOFDSTUK	Bepaalde opdeling
VERZINNEN	Bedenken
BENADERING	Gezichtspunt
BESCHRIJVEN	In woorden uitdrukken
FOUNDATION	Make-up die normaliter
MOORDENAAR	Informele naam
ONDUIDELIJK	Niet helder of zeker
OVERDREVEN	Te groot of te veel
VERDRIETIG	In sombere stemming
ALSTUBLIEFT	Als beleefde aandrang
ONGELOFELIJK	Onmogelijk om geloof
SCHITTEREND	Veel licht weerkaatsend
CREATIVITEIT	Gedrevenheid
ARENA	Schouwtoneel
BENDE	Grote hoeveelheid
MEENT	Weidegrond
WRAAK	Vergelden
GEVULD	Vol
GLAZEN	Gemaakt van glas
LENING	Lenen van geld
LEZING	Geven
MOBILE	Kunstwerk
SPAREN	Geld niet uitgeven
STAART	Verlengstuk
SCHADUW	Slechts
EINDIGEN	Ergens mee stoppen
HUISWERK	Schoolwerk
NOODZAAK	Iets moeten hebben
ENIGSZINS	In beperkte mate
OVERKOMEN	Andere kant bereiken
OVERNEMEN	Bezit of de leiding
WEERSTAND	Onderdeel
HALVERWEGE	Op het middelpunt
BEVESTIGING	Datgene waarmee
GOEDKEURING	Positieve beoordeling
LOSSE	Laten
STEEG	Zeer smal straatje
TOETS	Test of onderzoek
DETAIL	Onderdeel
GEREED	Als predicaat
HEFTIG	Extreem in mate
BATTERIJ	Opstelling
BEHALEN	Diploma
BELEVEN	Meemaken
DEGELIJK	Eerlijk
HORLOGE	Draagbaar voorwerp
OPRECHT	Waarheid sprekend
BESEFFEN	Proeven
INDELING	Ordening in groepen
KWARTIER	Één van de twee fasen
PROMOTEN	Reclame maken voor
SCHEIDEN	Samenzijn of de omgang
PRAKTISCH	Op een manier
AUTORITEIT	Overheid
CONFERENTIE	Grote vergadering
WAARSCHUWEN	Iemand verwittigen
ENTHOUSIASME	Geestdrift
INDEX	Toegevoegd cijfertje
KEREL	Vrije man
LELIJK	Onprettig
NICHT	Dochter
ORDER	Verzoek om diensten
STRAK	Nauwzittend
CIRKEL	Reeks van punten
FACTOR	Meewerkende oorzaak
HORECA	Bedrijfstak
SNIJDEN	Castreren
ZEILEN	Beoefenen
STIEKEM	Stil
AANGIFTE	Verklaren of melden
LICENTIE	Verlof
SLUITING	Middel
VERZORGD	Waaraan zorg is besteed
WALGELIJK	Weerzin opwekkend
MOTIVATIE	Drijfveer
ONTKENNEN	Verklaren
BESCHEIDEN	Oordeel hebbende
GARANDEREN	Uitkomst ergens
HOGESCHOOL	Instelling
MANCHESTER	Zwaar ribfluweel
DEMONSTRATIE	Tonen en uitleggen
BIJEEN	Tezamen in een groep
ELLEN	Kracht
HITTE	Overdreven warmte
JAGEN	Door mens
LEZER	Iemand die leest
SPITS	Drukte in het verkeer
ALLANG	Niet meer eisend
RAPPER	Klopper
SPRONG	Afwijking
STELEN	Iets wegnemen
WEBCAM	Digitale videocamera
SPOEDIG	Snel voltooid
WIJSHEID	Gerijpt inzicht
ZITTING	Gevoerde deel
BLADEREN	Vluchtig een boek
DATABASE	Plaats waar informatie
FEITELIJK	Eigenlijk
HISTORIE	Verhaal
OPRUIMEN	Iets uit de weg ruimen
VOLTOOID	Gereed
HARTSTIKKE	In bijzonder sterke mate
LEIDERSCHAP	Geheel
SCHOONMAKEN	Reinigen
PROFESSIONAL	Kenniswerker
BELEG	Langdurige uitsluiting
HOBBY	Liefhebberij
PLOTS	Ineens
TRACK	Nummer van een album
GRIJPEN	Met kracht iets pakken
IDEAAL	Zo gunstig als mogelijk
