REGEL	Zinsdeel	Voorschrift	Liniaal
STOEL	Zitmeubel	Zitplaats
MONUMENT	Gedenkteken	Standbeeld
TOERNOOI	Wedstrijd	Kampioenschap
TRADITIE	Gewoonte	Overlevering
VANMORGEN	Vanochtend	Deze ochtend
VOORLOPIG	Tijdelijk	Vooralsnog
LITERATUUR	Letterkunde	Boekenwerk
HEDEN	Nu	Vandaag
PARTY	Feestje	Fuif
PLEIN	Marktveld	Open ruimte
SMAAK	Aroma	Voorkeur
VOGEL	Gevleugelde	Vlieger?
ZICHT	Uitzicht	Doorkijk
CENTER	Middelpunt	Centrum
DERTIG	Telwoord	Cijfer 30
DUBBEL	Tweevoudig	Dubbelganger
HELDER	Klaar	Doorzichtig
KLACHT	Grief	Aanklacht
TANDEN	Kiezen	Gebit
UPDATE	Bijwerking	Vernieuwing
ANALYSE	Ontleding	Onderzoek
CONGRES	Bijeenkomst	Vergadering
CONTENT	Tevreden	Inhoud
TELKENS	Steeds	Iedere keer
VOLGEND	Aanstaand	Erop komend
BEVINDEN	Aantreffen	Constateren
GEDACHTE	Overpeinzing	Idee
MAGAZINE	Tijdschrift	Blad
SCHIETEN	Vuren	Knallen
STUDEREN	Leren	Blokken
ONTDEKKEN	Vinden	Achterhalen
REVOLUTIE	Omwenteling	Opstand
HERSTELLEN	Genezen	Repareren
HENRY	Voornaam	Eenheid
HOUSE	Muziekstijl	Dancemuziek
LENTE	Voorjaar	Bloeitijd
LUNCH	Middagmaal	Broodmaaltijd
VOREN	Groeven	Geploegd
SCHERP	Puntig	Bijtend
BESLIST	Zeker	Vastberaden
OPSTAND	Rebellie	Oproer
RECLAME	Advertentie	Aanprijzing
SCHEPEN	Verschepen	Vervoeren
STEUNEN	Kreunen	Ondersteunen
WEDEROM	Opnieuw	Andermaal
BOERDERIJ	Hoeve	Landgoed
UITERLIJK	Voorkomen	Aanzien
VERMOGEN	Kapitaal	Bezit
VOORKEUR	Preferentie	Voorliefde
VANOCHTEND	Deze ochtend	Vanmorgen
STEEK	Prik	Naaisteek
VILLA	Herenhuis	Buiten
VOCHT	Nattigheid	Vloeistof
BEDRAG	Som	Geldbedrag
ERKEND	Officieel	Geaccepteerd
HIERNA	Vervolgens	Straks
HUILEN	Janken	Wenen
LESSEN	Onderricht	Colleges
MOBIEL	Draagbaar	Hangkunstwerk
GEWICHT	Zwaarte	Belang
OEFENEN	Trainen	Repeteren
REKENEN	Calculeren	Sommen maken
INZETTEN	Gebruiken	Wedden
SOFTWARE	Programmatuur	Apparatuur?
TOEZICHT	Controle	Supervisie
OVERLIJDEN	Sterven	Doodgaan
VLIEGVELD	Luchthaven	Airport
ACCEPTEREN	Aanvaarden	Aannemen
COMPETITIE	Wedstrijd	Rivaliteit
UITVOERING	Voorstelling	Concert
SAMENVATTING	Resumé	Overzicht
BEVEL	Order	Commando
HAPPY	Blij	Gelukkig
HOEZO	Waarom	Hoe dat
ROKEN	Paffen	Verbranden
WAGEN	Kar	Voertuig
INGANG	Toegang	Entree
MARINE	Zeemacht	Vloot
PALEIS	Slot	Residentie
VANGEN	Betrappen	Pakken
GETUIGE	Ooggetuige	Omstander
OPHALEN	Verzamelen	Innen
REDELIJK	Tamelijk	Billijk
SOLDAAT	Militair	Krijgsman
DUURZAAM	Milieuvriendelijk	Blijvend
SPANNING	Voltage	Nervositeit
WERKZAAM	Actief	Effectief
FINANCIEEL	Geldelijk	Fiscaal
ONDERNEMEN	Aanpakken	Doen
ONDERNEMER	Zakenman	Bedrijfshoofd
TOEPASSING	Gebruik	App
TOEGANKELIJK	Bereikbaar	Vlot
ONDERSTEUNEN	Steunen	Schragen
WERELDOORLOG	Wapengeweld	Grote strijd
AFVAL	Vuilnis	Rommel
HEMEL	Lucht	Uitspansel
POORT	Toegang	Doelmond
WIENS	Van wie	Bezitt vnw
ALVAST	Nu al	Reeds
KLAGEN	Mopperen	Zeuren
STRESS	Spanning	Druk
ERFGOED	Nalatenschap	Cultuurgoed
INKOMEN	Salaris	Verdienste
WAARAAN	Aan wat	Waardoor
LANDBOUW	Akkerbouw	Agrarisch
MAXIMAAL	Uiterst	Hoogstens
PRINCIPE	Grondregel	Uitgangspunt
OVERTUIGD	Zeker	Overtuigd?
VERBORGEN	Onzichtbaar	Geheim
ONTMOETING	Rendez-vous	Bijeenkomst
VERDIEPING	Etage	Bouwlaag
ONGELOOFLIJK	Bizar	Fenomenaal
KOERS	Richting	Wisselkoers
BREKEN	Kraken	Vernielen
CADEAU	Geschenk	Presentje
DOMEIN	Terrein	Gebied
GERUST	Onbezorgd	Kalm
HIEROP	Daarop	Aansluitend
MERKEN	Bespeuren	Bemerken
PASSIE	Hartstocht	Liefde
SNEEUW	Winterpret	Vlokken
TEKORT	Deficit	Schaarste
EXTREEM	Uiterst	Radicaal
HOUDING	Pose	Postuur
RELIGIE	Godsdienst	Geloof
SYMBOOL	Zinnebeeld	Icoon
VANDAAR	Daarom	Vandaar?
BEDENKEN	Verzinnen	Uitvinden
GEBOORTE	Bevalling	Geboorte?
GESLAAGD	Gelukt	Cum laude
KAPITEIN	Gezagvoerder	Schipper
SPRINGEN	Huppelen	Sprongen
VANNACHT	Komende nacht	Deze nacht
DEFINITIEF	Voorgoed	Onherroepelijk
GOUVERNEUR	Landvoogd	Bestuurder
IDENTITEIT	Persoonlijkheid	Eigenheid
RELIGIEUZE	Kloosterlinge	Non
BODEM	Grond	Onderkant
GREEN	Golfveld	Putting
PLAAT	Schijf	Metaalblad
SLOOT	Greppel	Watergang
VIJFDE	Rangtelwoord	Na de vierde
DOELEN	Mikpunten	Ambities
TRANEN	Huilvocht	Druppels
CHINEES	Aziatisch	Wokgerecht
WERKING	Functie	Effect
DEFENSIE	Verdediging	Leger
GETEKEND	Ontworpen	Ondertekend
NEGATIEF	Ontkennend	Pessimistisch
CHAUFFEUR	Bestuurder	Rijder
CONCLUSIE	Slotsom	Gevolgtrekking
VERDEDIGEN	Beschermen	Beschutten
HERINNERING	Aandenken	Geheugenbeeld
PLANT	Gewas	Kwekerij
DOCENT	Leraar	Onderwijzer
VROLIJK	Blij	Opgewekt
ZILVER	Edelmetaal	Grijswit
ALCOHOL	Drank	Sterkedrank
GEVORMD	Ontstaan	Gemaakt
MISDAAD	Delict	Overtreding
PLAATJE	Afbeelding	Prentje
BELANGEN	Aangaan	Raken
GOEDKOOP	Voordelig	Spotgoedkoop
TOESTAND	Situatie	Gesteldheid
VERSTAND	Intellect	Rede
WANDELEN	Kuieren	Lopen
ONBEKENDE	Vreemdeling	Onbekend iem
ONTSNAPPEN	Ontkomen	Wegkomen
SCHOONHEID	Pracht	Fraaiheid
VERMOEDELIJK	Waarschijnlijk	Vermoedelijk?
BOODSCHAPPEN	Inkopen	Aankopen
VOORSTELLING	Show	Beeldvorming
APART	Afzonderlijk	Vreemd
BRUIN	Kastanjekleur	Getint
HAAST	Spoed	Gejaagdheid
METRO	Ondergrondse	Stadstrein
RADEN	Gissen	Schatten
ROMAN	Verhaalwerk	Novelle
VLOER	Bodem	Parket
BESLAG	Vloeideeg	Aanslag
CURSUS	Leergang	Opleiding
IMPACT	Effect	Invloed
ELLENDE	Armoede	Misère
MOORDEN	Ombrengen	Vermoorden
SLEUTEL	Slotopener	Oplossing
ZOJUIST	Daarnet	Net
BUSINESS	Zaken	Bedrijf
INTUSSEN	Ondertussen	Intern
MENSELIJK	Humaan	Sterfelijk
STRUCTUUR	Opbouw	Bouwwijze
UITLEGGEN	Verklaren	Verduidelijken
VERHUIZEN	Verkassen	Verplaatsen
ZOEKTOCHT	Speurtocht	Expeditie
INVESTEREN	Beleggen	Financieren
UITSTEKEND	Voortreffelijk	Perfect
VOORZICHTIG	Behoedzaam	Omzichtig
TEGENSTANDER	Rivaal	Opponent
DRAMA	Treurspel	Tragedie
TAKEN	Plichten	Klussen
TANTE	Oudtante	Moei
ELFTAL	Voetbalteam	Ploeg
OPNAME	Registratie	Storting
STREEK	Regio	Grap
METHODE	Werkwijze	Aanpak
TYPISCH	Kenmerkend	Karakteristiek
VARIANT	Uitvoering	Afwijking
MISBRUIK	Wanbeheer	Exploitatie
VERDRIET	Droefheid	Smart
UITVOEREN	Exporteren	Volbrengen
ZELFMOORD	Suïcide	Zelfdoding
PUBLICATIE	Uitgave	Bekendmaking
VERSCHIJNEN	Opduiken	Uitkomen
ALTERNATIEF	Optie	Keuzemogelijk
VERDEDIGING	Bescherming	Achterhoede
RECHTSTREEKS	Direct	Live
VOLOP	Ruimschoots	Overvloedig
ZACHT	Teder	Mild
FIGUUR	Gestalte	Personage
GEDULD	Volharding	Lankmoedigheid
LIEGEN	Jokken	Bedotten
SCHERM	Beeldscherm	Monitor
WETTEN	Regels	Slijpen
ZANGER	Vocalist	Crooner
EXTERNE	Buitenstaander	Uitheems
HERSTEL	Genezing	Reparatie
OVERLEG	Beraad	Gesprek
SALARIS	Loon	Bezoldiging
VERRAST	Overrompeld	Verbaasd
DANKBAAR	Erkentelijk	Verplicht
PROMOTIE	Bevordering	Reclame
DEELNEMEN	Meedoen	Participeren
TRANSPORT	Vervoer	Logistiek
ZEKERHEID	Garantie	Onderpand
LUCHTHAVEN	Vliegveld	Airport
VERKRIJGBAAR	Leverbaar	Beschikbaar
VEROORZAKEN	Teweegbrengen	Veroorzaken?
