HINT	Wenk	Tip	Aanwijzing
PRIK	Injectie	Steek	Koolzuur
BOE	Afkeuring	Uitroep
LEI	Dakplaat	Plaat (steen)
LOG	Traag	Zwaar	Bestand (comp.)
TOR	Kever	Insect
NERD	Studiebol	Techneut
NIPT	Krap	Amper	Net
VINK	Zangvogel	Vogeltje	Merkteken
JU	Hup	Aanroep
AAS	Kaart (spel)	Lokvoer	Kadaver
DAR	Insect	Zoemer
PUB	Kroeg	Bierhuis	Taveerne
RIF	Zandbank	Ondiepte	Koraal
AFRO	Haarstijl	Kroeshaar
BAAL	Pak (stro)	Grote bundel	Ergernis
OBER	Kelner	Bediende	Gastheer
REIN	Zuiver	Schoon	Onbevlekt
WATT	Vermogen	Eenheid (W)	Kracht
WRAK	Ruïne	Puinhoop	Gammel
HUB	Centrum	Draaipunt	Kern
LUX	Eenheid (licht)	Lichtmaat
NAP	Kom	Schaal	Drinkbak
NES	Mirakel	Teken (God)
KROM	Gebogen	Scheef	Verbogen
KUIL	Gat	Groeve	Krater
SLIP	Broekje	Bonnetje
LUS	Ring	Strop	Bocht
OME	Oompje	Vaders broer
POR	Stoot	Duw	Prik
WED	Oversteek	Ondiepte
GAAR	Klaar (eten)	Bereid	Suf
KAAP	Landtong	Landpunt
PING	Piepje	Tikgeluid
PONT	Veerboot	Overvaart
TUBE	Kokertje	Koker	Buisje
EB	Laagtij	Laag water	Getij
BUG	Fout (comp.)	Kever	Insect
FAX	Telekopie	Apparaat
ROS	Roodbruin	Paard (oud)	Vaal rood
WIS	Zeker	Verwijder	Twijgje
ANUS	Aars	Achterste
PACT	Verbond	Verdrag	Afspraak
PION	Stuk (schaak)	Werktuig
SPAN	Team	Koppel	Ploeg
EG	Werktuig (land)	Hark (groot)
COX	Appeltje	Fruitras	Stuurman
FAT	Dandy	IJdeltuit	Modegek
NOR	Cel	Bajes	Cachot
