REGIME	Bewind	Stelsel
SPRING	Veer	Bron
TERRAS	Patio	Platform
UITEEN	Verspreid	Apart
VREZEN	Duchten	Angst hebben
ACHTSTE	Na de zevende	Ordinaal
CIRCUIT	Racebaan	Netwerk
CLASSIC	Standaard	Evergreen
DAARTOE	Ten behoeve	Met dat doel
DIALOOG	Gesprek	Onderhoud
GENEZEN	Opknappen	Beter worden
MUSICAL	Zangspel	Show
SCHAKEL	Link	Ring
STAANDE	Rechtop	Overeind
STELSEL	Systeem	Structuur
STROMEN	Vloeien	Bewegen
CHINEZEN	Aziaten	Uit eten
DREIGING	Gevaar	Risico
FAILLIET	Bankroet	Blut
HUISARTS	Dokter	Medicus
JUBILEUM	Gedenkdag	Feestdag
UITKOMST	Resultaat	Uitslag
UITSTOOT	Emissie	Uitworp
VERKOPER	Handelaar	Winkelier
VERSTAAN	Begrijpen	Snappen
VERTALEN	Omzetten	Tolken
AANGEDAAN	Ontroerd	Geraakt
OPVOEDING	Vorming	Scholing
TOESPRAAK	Rede	Speech
VERHOGING	Stijging	Podium
WOONKAMER	Zitkamer	Huiskamer
GROOTVADER	Opa	Vaders vader
VERTRAGING	Oponthoud	Uitstel
VERZEKEREN	Beloven	Afdekken
INSTALLATIE	Systeem	Aanleg
NACHTMERRIE	Horror	Kwelling
REGISTREREN	Noteren	Boeken
VRIJDAGAVOND	Begin weekend	Stapavond
BRITS	Engels	Veldbed
CLARK	Heftruck	Wagen
DUWEN	Stoten	Schuiven
FIRMA	Bedrijf	Zaak
IMAGO	Reputatie	Aanzien
NOTEN	Vruchten	Klanken
ZEGEN	Visnet	Voorspoed
BESMET	Aangetast	Ziek
BUNDEL	Map	Boekwerk
KOPPEN	Titels	Berichten
SPEECH	Toespraak	Rede
TONEEL	Podium	Drama
DOMINEE	Predikant	Pastor
GEMENGD	Vermengd	Divers
KEIHARD	Loeihard	Steenhard
SCHEDEL	Kop	Doodskop
VEREIST	Nodig	Verplicht
VERWARD	Chaotisch	Beduusd
WIJZIGEN	Aanpassen	Herzien
BEREIDEN	Koken	Maken
DERGELIJK	Zulk	Zodanig
INDIENEN	Insturen	Aanbieden
INVULLEN	Invoeren	Aanvullen
KERSTMIS	25 december	Jezus geboorte
KLASSIEK	Tijdloos	Antiek
SCHUDDEN	Rammelen	Roeren
STRANDEN	Vastlopen	Mislukken
UITGEVEN	Besteden	Spenderen
VOORNAAM	Deftig	Naam
AFWACHTEN	Uitkijken	Wachten
FACULTEIT	Afdeling	Vermogen
FEDERATIE	Verbond	Bond
VADERLAND	Thuisland	Natie
VERDRAGEN	Dulden	Uithouden
INRICHTING	Interieur	Tehuis
VEELVULDIG	Frequent	Talrijk
PLAYSTATION	Console	Videogame
SINTERKLAAS	Bisschop	Spanjaard
FINANCIERING	Subsidie	Kapitaal
BONUS	Premie	Toeslag
DIEET	Kuur	Menu
DRAAD	Garen	Kabel
GEWIJD	Heilig	Gezegend
KABEL	Snoer	Draad
ZWEER	Abces	Wond
ASPECT	Facet	Kant
BEWIND	Regering	Bestuur
CIRCUS	Kermis	Gedoe
VONNIS	Uitspraak	Oordeel
BIJSTAND	Steun	Uitkering
BLOKKEN	Zwoegen	Bikkelen
DOELMAN	Keeper	Sluitpost
GEDRUKT	Somber	Benauwd
GEKLEED	Chic	Deftig
PLOEGEN	Teams	Omwoelen
RESERVE	Voorraad	Invaller
STADIUM	Fase	Niveau
BIOSCOOP	Filmzaal	Cinema
EVOLUTIE	Groei	Vorming
GARANTIE	Waarborg	Zekerheid
KENTEKEN	Nummer	Merkteken
KLOOSTER	Abdij	Convent
NAARMATE	In de mate	Zoals
VESTIGEN	Oprichten	Beginnen
VUURWERK	Knallers	Lichtshow
CHAMPAGNE	Bubbels	Wijn
GESPANNEN	Strak	Nerveus
LANCERING	Start	Opstart
ZOGENAAMD	Vermeend	Beweerd
AANMERKING	Kritiek	Bezwaar
AANSLUITEN	Verbinden	Meedoen
BESCHOUWEN	Zien als	Achten
VERZEKERING	Polis	Dekking
