VIJL	Grove rasp	Rasp	Fijne rasp
UHD	Resolutie	4K (afk.)	Beeldnorm
IJSCO	IJsje	Hoorntje	Lekkernij
SCHA	Verlies	Nadeel	Afkorting
ZEEG	Welving	Bolvorm	Kromming
JUUT	Agent	Smeris	Politie
NOEN	Middag	Twaalf uur	Lunchtijd
VLOK	Pluisje	Toefje	Cornflake
WURM	Worm	Kruipdier	Kleintje
BEUN	Zolder	Vlonder	Stelling
GALM	Weerklank	Echo	Dreun
WIEP	Strobos	Bundel	Bosje
BLO	Bang	Verlegen	Schuchter
DORS	Kabeljauw	Vis	Jonge vis
ZOAB	Wegdek (afk.)	Asfalt	Asfaltweg
IJK	Keurmerk	Stempel	Controle
BRAT	Weefsel	Stof	Grof linnen
KELP	Zeewier	Alg	Wier
KRAM	Nietje	Klemhaak	Hechting
MOOT	Visstuk	Plak	Portie
MOPS	Hondenras	Pug	Hondje
WIEK	Vleugel	Molenarm	Vlerk
WIJL	Poos	Tijdje	Moment
HAAF	Bezit	Eigendom	Have
URNE	Asvaas	Vaas	Askruik
BETE	Homp	Stukje	Hap
DRIL	Gelei	Pudding	Oefening
AFT	Mondzweer	Zweertje	Blaasje
DOKA	Donkere kamer	Fotolab	Labruimte
UIER	Melkklier	Koeorgaan	Zoogklier
BAMA	Opleiding	Studie	Onderwijs
ECRU	Beige	Gebroken wit	Kleur
KLAD	Vlek	Smet	Concept
TITI	Aapje	Aapsoort	Primaat
KERF	Groef	Snede	Inkeping
MOTS	Dier	Huisdier	Trekdier
PEEN	Wortel	Worteltje	Groente
RIST	Reeks	Rij	Serie
AKER	Emmer	Kruik	Ton
SMOS	Biertje	Pilsje	Drankje
SPIE	Wig	Pen	Klemstuk
BIJOU	Sieraad	Juweel	Kleinood
DRAB	Bezinksel	Droesem	Residu
DURO	Stoer	Pittig	Muntstuk
SOES	Gebakje	Suffe bui	Taartje
ALBE	Gewaad	Kerkkleed	Toga
KOLA	Boom	Plant	Notenboom
TIMP	Broodje	Bolletje	Gebakje
TUIL	Boeket	Bloemstuk	Ruiker
ZERK	Grafsteen	Grafplaat	Steen
KEG	Wig	Blok	Stopblok
EEST	Oven	Droger	Moutoven
SNUL	Sukkel	Sul	Domoor
STUT	Steun	Schoor	Steunpaal
BALG	Vouwzak	Luchtzak	Orgeldeel
PARI	Inzet	Gelijk	Nominaal
SOEK	Markt	Bazaar	Oosterse markt
TALG	Huidolie	Sebum	Vetstof
NAFT	Benzine	Brandstof	Petroleum
ORYX	Antilope	Spiesbok	Hoefdier
HOEP	Ring	Cirkel	Rondje
LAAF	Vleugel	Wiek	Vlerk
PIEF	Kerel	Vent	Man
SLAT	Plas	Poel	Waterplas
TYPO	Typefout	Fout	Tikfout
VRAT	Schrokte	Verslond	At gulzig
IJKEN	Afstellen	Meten	Keuren
LEET	Doorstond	Verdroeg	Leed pijn
ROBE	Gewaad	Toga	Jurk
NONI	Fruitboom	Plant	Vrucht
NEB	Snavel	Bek	Vogelbek
BUUT	Thuis	Basis	Veilige plek
KOTO	Stad	Stadsdeel	Wijk
BUUF	Buurvrouw	Vrouw	Dame
POPI	Chic	Deftig	Bekakt
TUL	Gaasstof	Netstof	Bolletje
WEM	Zwelling	Bocht	Welving
RUL	Los	Korrelig	Kruimelig
KADI	Rechter	Jurist	Moslim
LUNS	Wielpen	Borgpen	Splitpen
WIED	Wildgroei	Groen afval	Tuinafval
GEI	Touw	Kabel	Lijn
HUIF	Kap	Dekzeil	Wagenkap
JOOL	Pret	Plezier	Lolletje
PEIS	Vrede	Rust	Harmonie
TJAP	Stempel	Merk	Zegel
ZEEL	Riem	Gordel	Draagband
KNEU	Zangvogel	Vink	Zangertje
ONTIJ	Onweer	Noodweer	Slecht weer
STUC	Gips	Pleister	Muurwerk
VAIR	Bont	Pels	Bontsoort
SAAM	Samen	Tezamen	Verenigd
ZWIK	Pin	Plug	Groepje
AGIO	Opgeld	Premie	Toeslag
DESA	Dorp	Gehucht	Kampong
HUPS	Vrolijk	Levendig	Vlot
GROG	Drank	Rumdrank	Borrel
OHO	Uitroep	Verbazing	Aha
ZIJP	Moeras	Waterloop	Dorpje
HEAO	Opleiding (afk.)	Onderwijs	Economie
KRIB	Voederbak	Trog	Rivierdam
VOOS	Sponzig	Week	Beurs
ZEEK	Diarree	Buikloop	Loop
DRAS	Nat	Vochtig	Modderig
RORO	Lading	Vervoer	Zeevaart
BOLK	Zeevis	Visje	Vissoort
HALM	Stengel	Stro	Aar
SEKT	Champagne	Cava	Prosecco
ZODE	Plag	Graslaag	Turf
BAF	Knal	Klap	Dreun
BAUD	Eenheid	Bitmaat	Meetterm
RAIO	Jurist	Rechter (afk.)	Stagiair
VIEF	Vlot	Kwiek	Levendig
KOND	Bekend	Openbaar	Wetend
VORE	Groef	Gleuf	Ploegvoor
FOEF	Vulva	Geslacht	Poesje
REUT	Rommel	Zooitje	Bende
ZATE	Landgoed	Hofstede	Boerderij
SITS	Chintz	Bedrukt katoen	Sierstof
SAK	Jurk	Gewaad	Kleedje
STUF	Gom	Vlakgom	Radeergom
VLIJM	Lancet	Mesje	Scherp mes
VUIG	Laag	Vals	Snood
HAAM	Kraag	Tuigdeel	Juk
ASEM	Zucht	Lucht	Damp
KNAK	Worstje	Krak	Breuk
LARF	Larve	Made	Rups
RAAI	Sprietje	Rechte lijn	Meetlijn
TORS	Bovenlijf	Romp	Lijf
DUTS	Sukkel	Sufferd	Kluns
