woord	huidige_omschrijving
WELZIJN	Wanneer een individu
CONTEXT	Verband
RACISME	Opvatting dat mensen
DAAROVER	Over dat
VERHOGEN	Hoger doen worden
AANMELDEN	Zich opgeven
RESOLUTIE	Verklaring
TENSLOTTE	Immers
GEZAMENLIJK	Alle
OPGESLOTEN	Geïsoleerd
WOONPLAATS	Plaats
UITSLUITEND	Geen ruimte
DAADWERKELIJK	Echt plaats vindend
CHECK	Schaak
CIRCA	Ongeveer
COVER	Omslag van een boek
FRUIT	Voedsel dat bestaat
GEZAG	Bevoegdheid
LIJNEN	Dieet volgen
OPZET	Manier waarop
TOREN	Smal hoog bouwwerk
BIDDEN	In gebed zijn
TOEVAL	Gebeurtenis
VERBOD	Regel
ANONIEM	Naamloos
DOSSIER	Verzameling documenten
JALOERS	Afgunstig
COALITIE	Verbond van twee
STELLING	Bewering
VERLOPEN	Van maat veranderen
ERKENNING	Bevestiging
HIERBOVEN	Boven dit
ONTWERPEN	Bedenken en uitwerken
VANMIDDAG	Tijdens de middag
DOWNLOADEN	Bestand van een computer
HOOGTEPUNT	Bijzonder belangrijk
INSTELLING	Manier
VERMOORDEN	Met opzet gewelddadig
VERSTERKEN	Krachtiger maken
GRONDGEBIED	Gebied
BEANTWOORDEN	Voldoen aan
CHAOS	Grote wanorde
FOCUS	Brandpunt
MASSA	Grote hoeveelheid
RAMEN	Inschatten
AFLOOP	Einde
DESIGN	Vormgeving
DURVEN	Moed tonen
HEUVEL	Verhoging
BRANDEN	Langzaam
DOELWIT	Meer figuurlijk
DRONKEN	Onder invloed
GEVOERD	Voorzien van een voering
SPELLEN	Letters
VANZELF	Zonder tussenkomst
GEVOELIG	Moeilijk om te bespreken
HANDELEN	Iets doen
HERSENEN	Waarnemend
MENSHEID	Verzamelnaam
AANPAKKEN	Aanvatten
KONINKLIJK	Betrekking hebbend
REPUTATIE	Manier
STRATEGIE	Plan om iets te bereiken
VERGROTEN	Groter doen worden
AANGEWEZEN	Meest geschikt
BEREIKBAAR	Eigenschap hebbend
INTEGRATIE	Samenbrengen
STIMULEREN	Maatregelen nemen
VOORWERPEN	Verwijten
NOODZAKELIJK	Erg nodig
VERNIETIGEN	Volledig tenietdoen
ALARM	Waarschuwing tegen gevaar
BEZET	Gedomineerd
BOETE	Bedrag
MALEN	Uitpompen
TEMPO	Snelheid
WOEDE	Gevoel
MODERN	Van deze tijd
BEZWAAR	Bedenking
SECONDE	Eenheid voor hoeken
SPECIAL	Bijzonder
AFSLUITEN	Zorgen
BEWUSTZIJN	Toestand
BESCHADIGD	Niet gaaf meer
BESTEMMING	Eindpunt van een route
FOTOGRAFIE	Kunst
INFORMEREN	Inlichten
COMMISSARIS	Hoge rang
PERSPECTIEF	Aanhouden
VERSCHEIDENE	Meer dan één
GEDOE	Geheel
GRAAF	Erfelijk bestuurder
AANLEG	Plantsoen
HERFST	Jaargetijde tussen zomer
PIJNLIJK	Onaangenaam gevoel
VEELAL	In de meeste gevallen
WONDER	Gebeurtenis
BESTAND	Verzameling van gegevens
BEWAREN	Ervoor zorgen
GEWETEN	Bekend
OPGEZET	Van een dood dier
SIGNAAL	Vorm van informatie
SOWIESO	Hoe dan ook
AANKOMEN	Bestemming bereiken
APPARAAT	Voorwerp
DIGITAAL	Gegevens
DOWNLOAD	Bestand
EXPLOSIE	Barsten
HARTELIJK	Aardig
INCIDENT	Vervelende gebeurtenis
MILITAIR	Lid van het leger
VOORHEEN	In het verleden
BESLUITEN	Vaststellen hoe het moet
EFFECTIEF	Reëel
INNOVATIE	Invoering
ONTVANGST	Verwelkoming
SCHILDERIJ	Met verf op doek
VERMOEDEN	Stelling
AANZIENLIJK	Voornaam
BEVESTIGEN	Iemand mededelen
MANAGEMENT	Leiding
SPECIALIST	Deskundige
VERKIEZING	Kiezen door middel
BESCHIKKING	Macht
KWART	Vierde deel
PROEF	Onderzoek of test
STATE	Voormalige burcht
VAREN	Zich voortbewegen
BALLEN	Lef
GARAGE	Overdekte ruimte
GELDEN	Waarde bezitten
GRAVEN	Gat in de grond maken
NUTTIG	Van nut zijnde
MASSAAL	Op grote schaal
OPGEVEN	Strijd staken
SNELWEG	Grote brede weg speciaal
BADKAMER	Vertrek
VERBAASD	Zeer verwonderd
VERMIJDEN	Ontwijken
HERKENNEN	Waarnemen en beseffen
NEDERLAAG	Verlies van een strijd
OPRICHTER	Aanstichter
SLAAPKAMER	Kamer
VERHOUDING	Verband in de vorm
GEDEELTELIJK	Niet volledig
VERSPREIDEN	In omloop brengen
GREEP	Grijpende beweging
PIJPEN	Melodie spelen
VAART	Opgebouwde snelheid
BUDGET	Raming van inkomsten
EXCUUS	Spijt uiten
SLAGEN	Goed aflopen
SUPPORT	Onderdeel
AANNEMEN	Overnemen
BRUILOFT	Feestelijke gelegenheid
AANPASSEN	Aansluiten
DEELNEMER	Iemand die meedoet
MARKETING	Opstellen van plannen
AANVANKELIJK	In het begin
NIEUWSBRIEF	Regelmatige publicatie
ONDERNEMING	Gewichtige zaak
VERLICHTING	Iets wat een gebied
AANTREKKELIJK	Bekoorlijk
BURGEROORLOG	Gewapende strijd
BESEF	Reëel bewustzijn
DRAAI	Omwenteling
EXACT	Zonder benadering
SCORE	Twintig
STAGE	Toneel b
WENEN	Traanvocht uitscheiden
ARBEID	Verhandelen van objecten
BEDEKT	Met iets eroverheen
BLONDE	Vaste vriendin
DEBUUT	Eerste publicatie
DRUKTE	Hebben
EXAMEN	Onderzoek
KUSSEN	Kus of zoen geven
REGENT	Inheems bestuurder
SCHOOT	Bovenkant
SLOTEN	Aan een sloot werken
STILLE	Politieagent
SUIKER	Type verbinding
FRACTIE	Breuk
OVEREEN	Tot een afspraak
PATROON	Tekening
RIJBEWIJS	Officieel document
UITERST	In extreme mate
UITGAVE	Bedrag
BEPERKEN	Iemand hinderen
PLANNING	Opstellen
STEMMING	Proces
