GETIJ	Eb en vloed	Waterpeil	Springtij
FRET	Kleine marter	Handboor	Roofdier
ORKA	Dolfijn	Jager	Zwart-wit
PRAT	Trots	Fier	Verwaand
RATS	Restjes	Kliekjes	Angst
SOIT	Nou ja	Enfin	Welnu
RUI	Verharing	Vervelling	Haarval
FLUX	Stroming	Wisseling	Vloed
HEEM	Woonstee	Woning	Thuis
MERG	Kern	Pit	Wezen
OZON	O3	Stinkgas	Gasvorm
SPIJK	Lavendel	Kruid	Plant
TRED	Stap	Pas	Gang
VELO	Fiets	Rijwiel	Trapper
YOGI	Yogafan	Goeroe	Asceet
ECG	Hartcurve	Hartfilm	EKG (afk.)
LIS	Iris	Bloem	Lus
BOCK	Bokbier	Sterk bier	Donker bier
FLAP	Biljet	Omslag	Kaft
PEUK	Stompje	Restant	Filtertje
YETI	Sneeuwman	Fabeldier	Sasquatch
BEF	Kraagje	Halsdoek	Kanten doekje
PEK	Teer	Hars	Plakstof
PUF	Fut	Poef	Energie
TIC	Zenuwtrek	Spiertrek	Gewoonte
AFIJN	Nou ja	Kortom	Enfin
BONS	Bonk	Dreun	Afscheid
EROS	Liefde	Begeerte	Minnegod
KOLF	Handvat	Stokspel	Greep
MANI	Nagelzorg	Spabeurt	Nagellak
NERF	Bladader	Structuur	Textuur
TUBA	Blazer	Bombardon	Koperwerk
WRAP	Tortilla	Rolletje	Broodje
GIG	Roeiboot	Optreden	Karretje
MEM	Boezem	Moeder	Uier
WIG	Spie	Keg	Wielblok
APEX	Piek	Toppunt	Bochtpunt
RARA	Raadsel	Raad eens	Kun je raden
SLIJK	Modder	Drab	Blubber
TACT	Finesse	Kiesheid	Feeling
TAKS	Quotum	Heffing	Aandeel
VIDE	Open ruimte	Dubbele hoogte	Atrium
GFT	Bioafval	Compost	Afvalbak
HOR	Raamgaas	Zeefraam	Deurgaas
KAK	Poep	Drol	Chic
RAK	Rechte vaart	Waterweg	Vaargeul
AARS	Anus	Kont	Billen
BABI	Varken	Indisch	Pangang
EPOS	Verhaal	Legende	Sage
KLIT	Klis	Haarknoop	Distel
SMAK	Bons	Val	Zeilschip
SPIJS	Voedsel	Gerecht	Vulling
TRES	Boordsel	Galon	Haarstuk
BAAK	Baken	Merkteken	Zeeteken
BIAS	Voorkeur	Neiging	Schuine snit
TUTU	Rokje	Petticoat	Kostuum
AKI	Hier	Caribisch
ENT	Stekje	Griffel	Twijgje
TRA	Zangklank	Uitroep
BINT	Balk	Dwarsbalk	Dakspant
CHAI	Theesoort	Joods teken	Melkthee
KAKI	Beige	Vrucht	Legerstof
KUIS	Zedig	Rein	Ingetogen
KUUB	Kubieke meter	M3	Volume
LOOT	Uitloper	Telg	Twijgje
OMEN	Voorteken	Teken	Voorbode
SJAH	Vorst	Heerser	Titel
FUT	Energie	Puf	Pit
PEL	Schil	Dop	Vlies
SIK	Kinbaard	Puntbaard	Baardje
CODA	Slotdeel	Einde	Staartstuk
ERVE	Boerenhof	Hofstede	Landgoed
LINO	Zeildoek	Drukprent	Kunstdruk
LIRE	Munten	Italiaans geld	Oude valuta
VEIL	Goedkoop	Te koop
VJ	Video-DJ	Omroeper
GOM	Vlakgum	Kleefstof	Hars
PUI	Gevel	Etalage	Bouwdeel
ALLO	Dag	Hoi	Groet
BRUT	Droge wijn	Onzoet	Wijnterm
EELT	Hoornhuid	Likdoorn	Eksteroog
ERTS	Mijnsteen	Delfstof	Gesteente
IJDEL	Verwaand	Pronkerig	Trots
KELK	Beker	Bokaal	Wijnglas
PUMP	Hakschoen	Instapper	Pomp
SLOF	Pantoffel	Pakket	Muil
STUW	Dam	Sluis	Waterwerk
WULF	Nokbalk	Gewelfd	Welving
REI	Koor	Kring	Rondedans
AMAI	Wow	Jeetje	Tjonge
FOEI	Bah	Getver	Schande
JONK	Zeilschip	Chinese boot	Vaartuig
PEET	Getuige	Peter	Meter
PAF	Knal	Verbluft	Schot
PPM	Ratio	Fractie	Aandeel
HELS	Woedend	Razend	Duivels
MULO	Onderwijs	Oude mavo	Diploma
PATS	Klap	Mep	Opeens
PRUT	Modder	Slap koffie	Blubber
RUIN	Werkpaard	Paard	Rijpaard
TAPS	Conisch	Smaller	Puntig
BRIJ	Pap	Moes	Drab
CIS	Kruisnoot	Halve toon	Zwarte toets
KAF	Graanhuls	Vliesje	Letter
KAAI	Kade	Havenmuur	Pier
PESO	Munt	Valuta	Geldstuk
PRAK	Stamppot	Puree	Hutspot
UD	Docent (afk.)	Lector	Leraar
NOP	Bobbeltje	Gratis	Knoopje
VOD	Lap	Prop	Prul
VOF	Firma (afk.)	Maatschap	Bedrijf
BRAS	Touw	Want	Zeiltouw
MIME	Zwijgspel	Stil spel	Gebaren
PAIS	Vrede	Rust	Harmonie
PERK	Grens	Bloembed	Limiet
PLOF	Bons	Knal	Smak
WEEL	Waterplas	Dijkgat	Kolk
WOEF	Blaf	Geblaf	Waf
BONI	Bonussen	Extra's	Toeslagen
PONS	Stempel	Doorslag	Werktuig
PUTT	Golfslag	Korte slag	Holeslag
ZEUG	Varken	Wijfje	Zwijn
DOF	Mat	Glansloos	Vaal
GIT	Edelsteen	Zwarte steen	Fossiel hout
JAK	Jasje	Vestje	Blouse
KEU	Stootstok	Poolstok	Speelstok
BAHT	Munt	Thais geld	Valuta
BRUI	Opgeven	Stoppen met
BVBA	Belgische BV	Firma
WEEN	Huil	Schrei	Treur
VIT	Mopper	Zeur	Kritiseer
WAM	Onderkin	Huidplooi	Keelvel
DOEG	Doei	Dag	Later
DOOI	Smeltweer	Lenteweer	IJssmelt
IGLO	Sneeuwhut	IJshuis	Poolhuis
KLEF	Vochtig	Plakkerig	Zoetig
SWAP	Ruil	Derivaat	Renteruil
ZIER	Beetje	Greintje	Sprankje
HOM	Vissperma	Melkvocht	Zaadvocht
JOL	Bootje	Zeilboot	Sloep
TOD	Lap	Prul	Vodje
WIK	Zijsloot	Dood water	Inham
ALZO	Aldus	Zodoende	Derhalve
CRUX	Kernpunt	Knelpunt	Essentie
FIKS	Flink	Fors	Stevig
KUIF	Haarlok	Haarpiek	Kroontje
MOUT	Bierbasis	Kiemgraan	Brouwstof
RITE	Ritueel	Ceremonie	Gebruik
TERP	Heuveltje	Wierde	Woonplek
