ALFABET	Letters	ABC
AFTREDEN	Opstappen	Ontslag nemen
MANIFEST	Duidelijk	Lading
SERGEANT	Legerrang	Rang
VOORDOEN	Optreden	Gebeuren	Nabootsen
INSPECTIE	Controle	Keuring	Toezicht
VERVOLGEN	Doorgaan	Aanklagen
AANSPREKEN	Boeien	Corrigeren
ANALYSEREN	Ontleden	Toetsen
HARTAANVAL	Infarct	Attaque
INTEGREREN	Opnemen	Inpassen
KENMERKEND	Typisch	Typerend
OPZETTELIJK	Bewust	Expres
DISTRIBUTIE	Verdeling	Spreiding
FUNCTIONEEL	Praktisch	Bruikbaar	Doelmatig
CLEAN	Schoon	Zuiver	Nuchter
GENOT	Plezier	Wellust	Lust
HEIDE	Hei	Vlakte
ICOON	Beeld	Symbool	Pictogram
OFFER	Gave	Rite
SLUIS	Stuw	Doorgang
SPEED	Snelheid	Vaart
VIJVER	Poel	Waterplas
DIEVEN	Stelen	Gappen	Jatten
KAPPEN	Knippen	Vellen	Stoppen
KIKKER	Amfibie	Slootdier
LOPEND	Wandelend	Actueel
LULLEN	Kletsen	Zeuren
RATTEN	Klikken	Verraden
RUITER	Amazone	Berijder
TARIEF	Prijs	Kosten	Bedrag
WARREN	Verstoren	Mengen
ZUIGEN	Slurpen	Treiteren
AFWEZIG	Weg	Er niet
MATERIE	Stof	Onderwerp
MONTEUR	Technicus	Fitter
OMGEVEN	Insluiten	Omringen
SCHEREN	Kaalmaken	Ontharen
SPINNEN	Weven	Draaien	Snorren
STRALEN	Blinken	Gloeien
ZWAAIEN	Wuiven	Slingeren
BEHEERST	Kalm	Ingetogen	Rustig
BEKENNEN	Toegeven	Erkennen
BEWERKEN	Wijzigen	Aanpassen	Redigeren
BEZWAREN	Belasten	Hinderen	Verzwaren
BLOEDBAD	Slachting	Carnage
BRILJANT	Geniaal	Knap
INFLATIE	Waardeval	Duurte
WEGHALEN	Wegnemen	Ophalen
ADVISEREN	Aanraden	Raden
ATTRACTIE	Kermisrit	Lokmiddel
BASKETBAL	Balsport	Teamsport
BEDREIGEN	Dreigen	Chanteren
BENOEMING	Ambt	Functie
ONTVANGER	Ambtenaar	Fiscus
APPLICATIE	App	Programma
DRINKWATER	Tapwater	H2O
HERVORMING	Wijziging	Update
OVERLEGGEN	Bespreken	Praten
WERKPLAATS	Atelier	Garage	Loods
INDUSTRIEEL	Machinaal	Massaal
MORGENAVOND	Volgende avond	Komende avond
TOELICHTING	Uitleg	Duiding
BUITENWERELD	Publiek	Omgeving
MIDDENVELDER	Speler	Regisseur
PORTEFEUILLE	Aktetas	Dossier
BIJTEN	Happen	Knagen
ESSAY	Opstel	Stuk
HECHT	Innig	Vast	Stevig
SCHOK	Trilling	Klap	Rilling
SCHOP	Trap	Spade
BATTLE	Strijd	Duel
BUIGEN	Krommen	Knikken
GALERIJ	Passage	Arcade
KAPSEL	Coiffure	Haartooi
KERMIS	Feest	Foor
PROOST	Heildronk	Toost
VERVEN	Kleuren	Bestrijken
WONDEN	Kwetsen	Grieven
ZEUREN	Zaniken	Mopperen
BEWAKEN	Behoeden	Hoeden
DIAMANT	Edelsteen	Briljant	Steen
DONEREN	Schenken	Geven
KERKHOF	Grafveld	Necropool
MAGAZIJN	Opslag	Pakhuis	Depot
ONGEMAK	Hinder	Overlast	Last
PARODIE	Satire	Spot
PLUKKEN	Oogsten	Afbreken
SHOPPEN	Winkelen	Kopen
BEDRAGEN	Belopen	Kosten
DAGLICHT	Zonlicht	Schijnsel
EENZIJDIG	Partijdig	Scheef
INLOGGEN	Aanmelden	Verbinden
REGISTER	Index	Lijst
RICHTLIJN	Norm	Regel	Leidraad
AFDRUKKEN	Printen	Kopieren
EXCELSIOR	Opwaarts	Omhoog
MOBIELTJE	Gsm	Toestel
ONDERGOED	Lingerie	Slip
ONROEREND	Vast	Gebonden
SCHORSING	Straf	Verbod
CONSUMPTIE	Verbruik	Nuttiging
VERZORGING	Zorg	Hulp
BEVOEGDHEID	Recht	Macht
EENZAAMHEID	Isolement	Leegte
KENNISMAKEN	Ontmoeten	Begroeten
STAATSGREEP	Coup	Putsch
ONTWIKKELAAR	Bouwer	Maker
PROGRAMMEREN	Coderen	Scripten
VERPLEEGSTER	Zuster	Verzorgster
HAPJE	Snack	Tapa
NAALD	Priem	Injectie
WORST	Vleesrol	Saucijs
BRAKEN	Overgeven	Kotsen
GOKKEN	Wedden	Wagen
GRANDE	Edelman	Groot
IMPULS	Prikkel	Aandrang	Drang
MENTOR	Coach	Raadsman
MORAAL	Zedenleer	Ethiek
ORGAAN	Ingewand	Instantie
ZOMERS	Zonnig	Warm
LANDING	Aankomst	Overloop
NOTARIS	Jurist	Ambtenaar
BEREKEND	Sluw	Doortrapt
BEVROREN	IJzig	Koud	Hard
FOCUSSEN	Richten	Mikken
GRAFISCH	Beeldend	Visueel
MAKELAAR	Agent	Tussenman
ACHTERSTE	Zitvlak	Billen	Kont
NAVOLGING	Imitatie	Voorbeeld
OPRICHTEN	Stichten	Vestigen
VERPESTEN	Bederven	Vervuilen
VERSIEREN	Decoreren	Optuigen	Inpalmen
ACCOUNTANT	Cijferaar	Fiscalist
COMPILATIE	Bundel	Overzicht
OVERWINNEN	Verslaan	Bedwingen
COMFORTABEL	Lekker	Riant
GENOOTSCHAP	Club	Sociëteit
HOORZITTING	Zitting	Sessie
ISLAMITISCH	Moslim	Religieus
MANSCHAPPEN	Soldaten	Troepen
PUBLICITEIT	Reclame	Aandacht
BROEDERSCHAP	Gilde	Orde
DEMONSTREREN	Tonen	Betogen
ANITA	Voornaam	Naam
BOARD	Paneel	Bestuur	Plank
CLAIM	Aanspraak	Eis	Vordering
DONNA	Dame	Vrouwe
FAUNA	Wildstand	Gedierte
GODIN	Godheid	Diva
TRUCK	Lorrie	Trekker
DEALER	Verkoper	Handelaar	Koopman
GEDEKT	Getemperd	Mat
GEDING	Proces	Twist
GENOOT	Gelijke	Maat	Kameraad
LIKKEN	Proeven	Smullen
LOUTER	Puur	Alleen	Enkel
MEKAAR	Elkaar	Samen
MODDER	Slijk	Prut
POLDER	Laagland	Dijkland
PREMIE	Betaling	Bonus	Toeslag
VOORTS	Verder	Bovendien	Tevens
VRUCHT	Fruit	Foetus
LOGEREN	Slapen	Pitten
OPZICHT	Aspect	Aanzien
OUTDOOR	Buiten	Vrije natuur
VERBAAL	Mondeling	Gesproken
VERMAAK	Amusement	Pret	Plezier
WEGGAAN	Opstappen	Verlaten
AANMAKEN	Creeren	Openen	Maken
APOTHEEK	Drogist	Farmacie
FORMATIE	Vorming	Team
ONEERLIJK	Vals	Gemeen
ONGEWOON	Afwijkend	Apart	Vreemd
OPPASSEN	Opletten	Waken
BIOGRAFIE	Portret	Vita
GELIJKHEID	Balans	Egaliteit
RENDEMENT	Opbrengst	Winst
VERLEIDEN	Bekoren	Charmeren
VOLSTREKT	Totaal	Absoluut
DRAMATISCH	Tragisch	Heftig
KATHEDRAAL	Hoofdkerk	Domkerk	Dom
KLASSIEKER	Topper	Evergreen
ONTEVREDEN	Ontstemd	Misnoegd
RACISTISCH	Bekrompen	Kwetsend
STATISTIEK	Cijfers	Data
VOORGANGER	Predikant	Dominee
WIELRENNEN	Fietsen	Koersen
VERBEELDING	Fantasie	Denkbeeld
ZONDAGAVOND	Weekslot	Rustavond
BESCHULDIGEN	Aanklagen	Verwijten
FILMFESTIVAL	Premiere	Cinefeest
GERESERVEERD	Gepland	Verlegen
ONDERTEKENEN	Signeren	Paraferen
CLOWN	Nar	Pias
EMMER	Ton	Teil	Bak
KAPEL	Bedehuis	Orkest
MICRO	Mini	Kleintje
SOUND	Geluid	Klank
WREED	Bruut	Fel
ZUCHT	Ademtocht	Snik
DEKKEN	Voorzien	Betalen
DIESEL	Motor	Brandstof	Stookolie
MOREEL	Zedelijk	Ethisch
SALADE	Gerecht	Slaatje	Mengsla
SOEPEL	Lenig	Flexibel
BOEIEND	Spannend	Pakkend
BOTSING	Klap	Aanvaring
GALERIE	Kunstzaal	Expositie
GRAFIEK	Diagram	Curve
HOOGUIT	Maximaal	Uiterlijk
KRINGEN	Cirkels	Milieus
KWETSEN	Grieven	Krenken
MIJNHEER	Meneer	Heer
TACTIEK	Manier	Strategie	Plan
VAARWEL	Adieu	Tot ziens
ACHTERNA	Volgend	Nadien
BEDOELEN	Menen	Beogen
LITERAIR	Poetisch	Verheven
ONTKOMEN	Wegkomen	Ontwijken
SMAKELIJK	Lekker	Heerlijk
STROMING	Richting	Trend
TRAGEDIE	Treurspel	Drama
VERVELEN	Irriteren	Ergeren
BOVENKANT	Top	Deksel
DEELSTAAT	Staat	Provincie
HAMBURGER	Burger	Broodje
NIEUWJAAR	Jaarstart	1 januari
REPORTAGE	Verslag	Bericht
UITZETTEN	Zwellen	Uitdijen
BEKENTENIS	Biecht	Toegeving
BELEDIGING	Krenking	Smaad
FATSOENLIJK	Degelijk	Netjes
LANGSKOMEN	Bezoeken	Aanwippen
OVERTREDEN	Schenden	Zondigen
UITSTERVEN	Uitdoven	Doodgaan
FASCINEREND	Boeiend	Spannend
HANDSCHRIFT	Krabbel	Schrift
VEROORDELEN	Afkeuren	Berechten
ALLERLAATSTE	Uiterste	Laatste
GEBRUIKMAKEN	Benutten	Aanwenden
HERHAALDELIJK	Telkens	Steeds weer
SCHUILPLAATS	Toevlucht	Asiel
CRAZY	Gek	Bizar	Getikt
