woord	huidige_omschrijving
KRAAN	Werktuig om voorwerpen
SHELL	Zwaar soort vuurwerk
TIJGER	Krachtig roofdier
VORST	Bos
KAPPER	Iemand die kapt of hakt
KEURIG	Erg netjes en beleefd
ONEENS	Hebben
OPMARS	Aanvallende beweging
SLEPEN	Trekkend
WERVEN	Geld inzamelen
BLIKKEN	Alsof
BRANCHE	Tak
COMPLOT	Samenwerking
COUNTRY	Land
DREIGEN	Bestraffende handeling
FORMEEL	Houten vorm tot steun
KLETSEN	Praten
PELOTON	Groep
ROTONDE	Rond
VLEKKEN	Ontschorsen
CONCREET	Tastbaar
EXECUTIE	Uitvoering
INPAKKEN	Volstoppen met goederen
MANNELIJK	Behorend
MISSELIJK	Tot braken geneigd
RECEPTIE	Gelegenheid
UITGEPUT	Dodelijk vermoeid
GEESTELIJK	Betrekking hebbend
IDEOLOGIE	Geheel van ideeën
KRUISPUNT	Plaats waar twee
MEDICATIE	Geneesmiddel
ONDERGANG	Verdwijnen
OPVATTING	Manier
OVERBODIG	Niet of niet langer nodig
WEDERZIJDS	Van beide kanten
FRUSTRATIE	Gevoel
VASTLEGGEN	Bewaren van gegevens
SPORTSCHOOL	Instelling
WILLEKEURIG	Naar de wil van degene
AANKONDIGING	Bekendmaking
GEZELLIGHEID	Aangename atmosfeer
OVERDUIDELIJK	Zo duidelijk
DOORN	Scherp uitsteeksel
MAKER	Iemand die iets maakt
MYTHE	Verhaal
SCHIJN	Bedriegelijk voorkomen
SPUIT	Nauwe buis bedoeld
DAPPER	Geen angst
ETAPPE	Rustpunt
GEHOOR	Systeem om te horen
KWALIJK	Slecht
TRAUMA	Psychische stoornis
ZINKEN	In een vloeistof
