MIK	Richt	Roggebrood	Vertakking
ZALF	Smeersel	Crème	Balsem
ZOOL	Onderkant	Loopvlak	Steunvlak
CRU	Wijnsoort	Kwaliteit	Wijnterm
GIS	Slim	Schrander	Kruisnoot
JUK	Draagstuk	Span	Last
NOK	Piek	Bovenkant	Richel
CAVA	Spaanse wijn	Holle ader	Wijnsoort
DECK	Kaartspel	Plankier	Bovendek
ERGO	Dus	Derhalve	Bijgevolg
FORM	Conditie	Invulblad	Fitheid
GORT	Gerst	Pap	Gepeld graan
MIES	Slecht	Beroerd	Somber
PULP	Brij	Moes	Fruitmoes
LCD	Scherm (afk.)	Display (afk.)	Kristal (afk.)
POM	Hondenras	Brit	Spitshond
GEIN	Pret	Lol	Plezier
KITS	Zeilboot	Prima	Ketch
NAAD	Zoom	Stiksel	Spleet
NONE	Akkoord	Gebedsuur	Interval
PANG	Knal	Schot	Boem
RANK	Slank	Sierlijk	Scheut
HAR	Made	Wormsoort	Draaipunt
NIS	Muurholte	Alkoof	Holte
SIC	Aldus	Zo bedoeld	Precies zo
WIP	Speeltuig	Vlug	Momentje
KALI	Potas	Meststof	Zoutsoort
KOLK	Werveling	Waterput	Rioolput
KWAK	Klodder	Reiger	Plens
OPUS	Kunstwerk	Creatie	Werkstuk
PINT	Bierglas	Maatglas	Drankmaat
POLI	Kliniek	Spreekuur	Afdeling
RAKE	Juiste	Gevoelige	Terechte
SIER	Praal	Luister	Pracht
DUNK	Mening	Oordeel	Idee
HAFT	Insect	Vlieg	Visaas
HONK	Basis	Thuis	Startpunt
KNIJP	Klem	Nijptang	Penarie
LOOF	Bladeren	Groen	Blad
PROP	Stop	Kluwen	Balletje
PULL	Trui	Sweater	Trek
WEED	Wiet	Marihuana	Softdrug
ZUIL	Pilaar	Kolom	Gezindte
GUL	Vrijgevig	Royaal	Gastvrij
ROE	Takkenbos	Hengel	Strafstok
WOK	Bakpan	Braadpan	Chinese pan
ADER	Bloedvat	Ertslaag	Talent
DESK	Balie	Toonbank	Bureau
KIWI	Vrucht	Loopvogel	Fruit
MILT	Orgaan	Klier	Buikdeel
SILO	Pakhuis	Opslagbak	Voorraad
TINT	Kleurtoon	Nuance	Teint
ETS	Gravure	Prent	Afdruk
SAX	Kort zwaard	Wapen	Hakmes
BULK	Massagoed	Stortgoed	Voorraad
COLT	Revolver	Vuurwapen	Pistool
KUUR	Genezing	Gril	Oefening
LORI	Vrachtkar	Papegaai	Wagentje
MANK	Kreupel	Hinkend	Gebrekkig
TEEK	Parasiet	Insect	Mijt
VALE	Dal	Doffe	Kleurloze
DOR	Droog	Woest	Schraal
IET	Poortje	Hoepeltje	Doorgang
LOB	Kwab	Hoge bal	Oorlel
DUIT	Muntje	Geldstuk	Cent
HOLA	Hé	Stop	Hallo
JURA	Tijdperk	Rechten	Bergketen
KEET	Herrie	Lawaai	Bouwhut
MOES	Mama	Puree	Brij
VETE	Ruzie	Twist	Conflict
BLEU	Blauwtint	Rood vlees	Pastel
GONG	Slagwerk	Signaal	Bekken
MUIL	Bek	Slof	Snuit
TOOM	Teugel	Leidsel	Bedwang
TUI	Spankabel	Touw	Draad
HULS	Peul	Schil	Koker
KOUS	Sok	Draadhuls	Afwijzing
AVE	Gegroet	Latijnse groet	Heilgroet
NEL	Voornaam	Kaartterm	Bijnaam
ARBO	Werkwet (afk.)	Personeel (afk.)	Wetgeving (afk.)
GEER	Inzetstuk	Wig	Speer
HIEL	Voetdeel	Onderkant	Schurk
KUIT	Onderbeen	Eitjes	Beenspier
SPUI	Sluis	Afvoer	Uitlaat
TOGA	Gewaad	Mantel	Ambtsjas
ZAAN	Rivier	Streek	Waterweg
ZWAM	Schimmel	Fungus	Onzin
FTE	Voltijds (afk.)	Formatie (afk.)	Mensjaar (afk.)
BIES	Boordsel	Rietsoort	Vluchten
DOLK	Mes	Wapen	Ponjaard
DUMP	Depot	Opslag	Voorraad
HIEP	Hoera	Kreet	Juichen
KROP	Keelzak	Slahoofd	Brok
LIMO	Frisdrank	Deftige auto	Zoet drankje
TOET	Claxon	Smoel	Pieptoon
AMA	Mijns inziens	Volgens mij	Dunkt mij
BIB	Boekerij	Nummer	Leeszaal
KOL	Heks	Rang (afk.)	Feeks
PEE	Letter P	Plasje	Consonant
BIET	Rode groente	Knolgewas	Groente
ELAN	Animo	Vuur	Bezieling
KINK	Draai	Knik	Knoop
MESS	Eetzaal	Kantine	Refter
SNOT	Slijm	Neusvocht	Vocht
ARA	Papegaai	Altaar	Tropische vogel
DONS	Veertjes	Pluis	Zachte veren
KIER	Spleet	Reet	Gat
KLIP	Rots	Rif	Hindernis
KWEL	Plaag	Ergernis	Lekwater
LAKS	Slordig	Achteloos	Nalatig
EDEL	Nobel	Adellijk	Verheven
KEMP	Vechter	Strijder	Kampioen
LONT	Vuurkoord	Ontsteker	Draad
POEF	Plof	Zitkussen	Bonk
POSE	Houding	Postuur	Gedrag
SANT	Heilige	Patroon	Zalige
PUK	Peuter	Kleuter	Ukkie
ROG	Vis	Vissoort	Zeedier
ALLA	Vooruit	Kom op	Toe maar
DAMP	Nevel	Stoom	Wasem
KEEN	Scherp	Puntig	Fel
GUM	Wisser	Kauwgom	Hars
DODO	Loopvogel	Grote duif	Fossiel
PAAS	Kerkfeest	Eierfeest	Lentetijd
PENS	Buik	Maag	Ingewand
PLOP	Plons	Ploep	Knal
HEG	Haag	Struik	Scheiding
KOT	Hok	Schuurtje	Krot
ICON	Pictogram	Symbool	Beeltenis
PREI	Groente	Stengel	Soep groente
ROTI	Surinaams	Platbrood	Maaltijd
SNOL	Slet	Hoer	Del
TOKO	Winkel	Indische winkel	Buurtzaak
VLAS	Gewas	Vezelbron	Landbouw
AAI	Streling	Knuffel	Kus
JAT	Poot	Steel	Klauw
IJVER	Vlijt	Inzet	Bezieling
KNOT	Haarwrong	Wolbol	Kapsel
MINK	Nerts	Pelsdier	Bontsoort
NASI	Rijst	Indisch gerecht	Maaltijd
SLIB	Modder	Bezinksel	Slijk
SMOG	Rookmist	Damp	Nevel
TIET	Borst	Boezem	Buste
TOOG	Bar	Buffet	Balie
BIC	Balpen	Pen	Merknaam
KOR	Sleepnet	Visnet	Vangnet
OEN	Sufferd	Sukkel	Idioot
BARA	Koekje	Snack	Hapje
DATO	Gedateerd	Juridisch	Ten dage
