woord	omschrijving	bron
TAK	Deel van boom	hand
TON	Vat	hand
TON	Duizend kilo	hand
TOL	Speelgoed	hand
TOL	Heffing	hand
UIL	Nachtvogel	hand
UIL	Roofvogel	hand
VLA	Toetje	hand
VLA	Nagerecht	hand
VOS	Roofdier	hand
VOS	Sluw dier	hand
WOL	Schapenhaar	hand
ZEE	Watervlakte	hand
ZEE	Oceaan	hand
ZON	Hemellichaam	hand
ZON	Ster	hand
MES	Snijwerktuig	hand
MES	Bestek	hand
LAT	Dunne plank	hand
LAT	Doelbalk	hand
LIP	Mondrand	hand
LOR	Vod	hand
LOR	Prul	hand
LOS	Vrij	hand
LOS	Niet vast	hand
LAM	Jong schaap	hand
GEK	Dwaas	hand
GEK	Zot	hand
GAS	Brandstof	hand
DAG	Etmaal	hand
DAG	Groet	hand
DAS	Roofdier	hand
DAS	Halsdoek	hand
DOP	Deksel	hand
DOP	Schil	hand
DUO	Tweetal	hand
EIS	Vordering	hand
EIS	Verlangen	hand
LEF	Durf	hand
LEF	Moed	hand
MAL	Vorm	hand
MAL	Dwaas	hand
MAT	Vloerkleed	hand
MAT	Dof	hand
NAT	Vochtig	hand
NAT	Vocht	hand
PIL	Medicijn	hand
PIL	Tablet	hand
TIN	Metaal	hand
LOOD	Metaal	hand
ARM	Behoeftig	hand
ARM	Lichaamsdeel	hand
BUI	Regenvlaag	hand
BUI	Humeur	hand
DAM	Waterkering	hand
DAM	Bordspel	hand
MUS	Vogeltje	hand
MUS	Zangvogel	hand
NEE	Ontkenning	hand
NEE	Weigering	hand
ROT	Bedorven	hand
RIJP	Gaar	hand
RIJP	Volgroeid	hand
ZEG	Spreek	hand
ZEG	Uitroep	hand
RIEM	Gordel	hand
IJZER	Metaal	hand
KOOL	Groente	hand
KOOL	Brandstof	hand
GANS	Watervogel	hand
EEND	Watervogel	hand
EZEL	Grauwtje	hand
EZEL	Domoor	hand
EGEL	Stekeldier	hand
