woord	lengte	rang	omschrijving	bron
TOEN	4	87	Op het tijdstip dat	wiktionary
KOMEN	5	88	Bewegen van verder weg	wiktionary
LEVEN	5	89	Doormaken	wiktionary
WAREN	5	90	Doelloos	wiktionary
HEM	3	91	Zich	wiktionary
ALTIJD	5	92	Op elk moment	wiktionary
TUSSEN	6	93	Voor en na iets in tijd	wiktionary
JA	2	94	Kreet van opwinding	wiktionary
WIE	3	95	Zoals	wiktionary
WEET	4	96	Daad van het weten	wiktionary
LATEN	5	97	Maakt een causatief	wiktionary
WAAROM	6	98	Tot welk doel	wiktionary
NET	3	99	Geheel	wiktionary
VIA	3	100	Langs	wiktionary
ALLES	5	101	Al het mogelijke	wiktionary
MAN	3	102	Echtgenoot	wiktionary
EVEN	4	103	Deelbaar door twee	wiktionary
GROTE	5	104	Iemand die groot is	wiktionary
TERUG	5	105	Alweer	wiktionary
GEWOON	6	106	Zoals gebruikelijk	wiktionary
AF	2	107	Klaar	wiktionary
LAAT	4	108	's avonds	wiktionary
UUR	3	109	Tijdstip	wiktionary
STEEDS	6	110	Zoals in een stad	wiktionary
BENT	4	111	Groep	wiktionary
KEER	4	112	Keren	wiktionary
EIGEN	5	113	Typisch	wiktionary
WILLEN	6	114	Iets als verlangen	wiktionary
WEG	3	115	Smalle strook grond	wiktionary
HELE	4	116	Rijmen	wiktionary
WERK	4	117	Beroep	wiktionary
ZIT	3	118	Plaats	wiktionary
DRIE	4	119	Try	wiktionary
ZELF	4	120	Besef van identiteit	wiktionary
GEVEN	5	121	Overdragen	wiktionary
SAMEN	5	122	Met iemand	wiktionary
VINDEN	6	123	Iets bedenken	wiktionary
TOE	3	124	Tot	wiktionary
SNEL	4	125	In korte tijd	wiktionary
PLAATS	6	126	Bepaalde ruimte	wiktionary
DEEL	4	127	Afsplitsing	wiktionary
HUIS	4	128	Gebouw bestemd	wiktionary
NODIG	5	129	Waar behoefte	wiktionary
VANAF	5	130	Van een last verlost zijn	wiktionary
WETEN	5	131	Ergens kennis	wiktionary
LAATSTE	7	132	In een reeks	wiktionary
WANT	4	133	Lijnen of staalkabels	wiktionary
KRIJGEN	6	134	Verwerven	wiktionary
ERG	3	135	In hoge mate	wiktionary
BETER	5	136	Gezond na ziekte	wiktionary
ZEGGEN	6	137	Mededelen	wiktionary
ALLEMAAL	8	138	Als bepaling	wiktionary
LAND	4	139	Dat deel	wiktionary
NAAM	4	140	Bekendheid	wiktionary
ZULLEN	6	141	Moeten	wiktionary
GEMAAKT	7	142	Onecht	wiktionary
STAD	4	143	Plaats	wiktionary
ANDERS	6	144	Leidt een zin	wiktionary
HOUDEN	6	145	Niet laten varen	wiktionary
GRAAG	5	146	Gretig	wiktionary
BLIJVEN	6	147	Ergens vertoeven	wiktionary
VERDER	6	148	Overig deel uitmakend	wiktionary
WANNEER	7	149	Op welke tijd	wiktionary
PER	3	150	Door middel van	wiktionary
LANG	4	151	Van grote duur	wiktionary
NIETS	5	152	Geen enkel ding	wiktionary
VRAGEN	6	153	Mondeling	wiktionary
WERKEN	6	154	Arbeid verrichten	wiktionary
VANDAAG	7	155	Op deze dag	wiktionary
ELKE	4	156	Van elk	wiktionary
DAGEN	5	157	Dag worden	wiktionary
EERST	5	158	In het begin	wiktionary
VRAAG	5	159	Verzoek	wiktionary
ZELFS	5	160	Kondigt een uitspraak	wiktionary
GEZIEN	6	161	Geacht	wiktionary
WERELD	6	162	Aarde	wiktionary
KOM	3	163	Eetgerei	wiktionary
PAAR	4	164	Twee geliefden	wiktionary
HELEMAAL	8	165	In z'n geheel	wiktionary
KIJK	3	166	Manier	wiktionary
FOTO	4	167	Afdruk	wiktionary
GELD	4	168	Ruilmiddel	wiktionary
LEUK	4	169	Grappig	wiktionary
VAAK	4	170	Slaap	wiktionary
NEMEN	5	171	Iets vastpakken	wiktionary
GROOT	5	172	Meer dan normaal	wiktionary
SINDS	5	173	Sedert	wiktionary
ACHTER	6	174	Verder weg dan	wiktionary
GEDAAN	6	175	Als iets voltooid is	wiktionary
TEN	3	176	Tien	wiktionary
MOOI	4	177	Prettig in voorkomen	wiktionary
WEEK	4	178	Zacht gedeelte	wiktionary
KIJKEN	5	179	Met de ogen waarnemen	wiktionary
DOOD	4	180	Tot het einde komen	wiktionary
KON	3	181	Komen	wiktionary
ROND	4	182	Cirkelvormig	wiktionary
NIEUWS	6	183	Uitzending in de media	wiktionary
ZITTEN	6	184	Zetelen	wiktionary
FAMILIE	7	185	Groep mensen	wiktionary
WEBSITE	7	186	Plaats	wiktionary
JOUW	4	187	Van jou	wiktionary
KLEINE	6	188	Kind	wiktionary
ONLINE	6	189	In verbintenis	wiktionary
MOMENT	6	190	Zeer korte tijd	wiktionary
MANIER	6	191	Handelswijze	wiktionary
POLITIE	7	192	Stadsbestuur	wiktionary
WATER	5	193	Geurloze	wiktionary
BUITEN	6	194	Niet ingesloten	wiktionary
GELEDEN	7	195	Woord om aan te duiden	wiktionary
TER	3	196	Driemaal	wiktionary
ETEN	4	197	Nuttigen van voedsel	wiktionary
OUDE	4	198	Iemand die oud is	wiktionary
KLAAR	5	199	Licht doorlatend	wiktionary
NIEUW	5	200	Recentelijk gemaakt	wiktionary
MANNEN	6	201	Voorzien	wiktionary
SEPTEMBER	9	202	Negende maand	wiktionary
MEN	3	203	Iemand	wiktionary
NOU	3	204	Nauw	wiktionary
HOOP	4	205	Stapel	wiktionary
OPEN	4	206	Niet gesloten	wiktionary
ENIGE	5	207	Vrij klein aantal	wiktionary
DENKEN	6	208	Biologisch proces	wiktionary
ECHTER	6	209	Beperkende tegenwerping	wiktionary
HELPEN	6	210	Iemand bijstaan	wiktionary
GEBRUIK	7	211	Standaard manier	wiktionary
LATER	5	212	Verder verstreken	wiktionary
MAART	5	213	Derde maand van het jaar	wiktionary
BEETJE	6	214	Kleine hoeveelheid	wiktionary
BEKEND	6	215	Vertrouwd	wiktionary
GENOEG	6	216	Voldoende	wiktionary
MOGELIJK	7	217	Keuze om iets te doen	wiktionary
AUTO	4	218	Voertuig met drie	wiktionary
THUIS	5	219	Plek waar iemand woont	wiktionary
DEN	3	220	Kerstboom	wiktionary
FILM	4	221	Dunne laag	wiktionary
NIKS	4	222	Geen enkel ding	wiktionary
ZOEK	4	223	Alleen predicatief	wiktionary
SPELEN	6	224	Recreatief	wiktionary
GEBRUIKEN	9	225	Zich bedienen van	wiktionary
HEN	3	226	Hebben	wiktionary
ZEG	3	227	Aankondiging	wiktionary
VIER	4	228	Getal tussen de drie	wiktionary
TERWIJL	6	229	Gedurende de periode	wiktionary
ZORGEN	6	230	Veroorzaken	wiktionary
ONDERZOEK	9	231	Iets bekijken	wiktionary
PAS	3	232	Even tevoren	wiktionary
WAARIN	6	233	Vragend	wiktionary
EIGENLIJK	8	234	Echt	wiktionary
INFORMATIE	10	235	Kennis	wiktionary
APRIL	5	236	Vierde maand van het jaar	wiktionary
VIDEO	5	237	Techniek van het opnemen	wiktionary
VANUIT	6	238	Plaats aangevend	wiktionary
PROBLEEM	8	239	Onopgelost vraagstuk	wiktionary
OOIT	4	240	Op een zeker tijdstip	wiktionary
VAST	4	241	Stevig	wiktionary
ZEER	4	242	Pijn	wiktionary
ZUID	4	243	In de richting	wiktionary
SOORT	5	244	Groep voorwerpen	wiktionary
VADER	5	245	Mannelijke ouder	wiktionary
VRIJ	3	246	Ongebonden	wiktionary
BEGIN	5	247	Eerste deel	wiktionary
ZODAT	5	248	En daardoor	wiktionary
GEBIED	6	249	Alle dingen die behoren	wiktionary
ARTIKEL	7	250	Voorwerp dat te koop is	wiktionary
BEST	4	251	Goed	wiktionary
IDEE	4	252	Gedachte	wiktionary
LEREN	5	253	Van leer vervaardigd	wiktionary
REGIO	5	254	Geografisch	wiktionary
MOEDER	6	255	Vrouwelijke ouder	wiktionary
ONGEVEER	8	256	Bij benadering	wiktionary
DER	3	257	Daar	wiktionary
OKTOBER	7	258	Tiende maand van het jaar	wiktionary
VERHAAL	7	259	Verslag	wiktionary
KANS	4	260	Mogelijkheid	wiktionary
MEEST	5	261	Van hoedanigheid	wiktionary
EERDER	6	262	Van vroegere datum	wiktionary
BRENGEN	7	263	Ergens heen gaan	wiktionary
HAND	4	264	Uiterste deel	wiktionary
HOREN	5	265	Geluid waarnemen	wiktionary
OPNIEUW	7	266	Nog een keer	wiktionary
NOVEMBER	8	267	Elfde maand van het jaar	wiktionary
ZOON	4	268	Mannelijk kind	wiktionary
ANDER	5	269	Niet deze	wiktionary
NAAST	5	270	Meest vertrouwd	wiktionary
MEISJE	6	271	Jonge	wiktionary
MUZIEK	6	272	Toonkunst	wiktionary
WAARBIJ	6	273	Vragend	wiktionary
ZETTEN	6	274	Bereiden	wiktionary
SLECHTS	7	275	Alleen maar	wiktionary
KIND	4	276	Wang	wiktionary
ZORG	4	277	Behoedzame overweging	wiktionary
HOOFD	5	278	Bovenste deel	wiktionary
ZOWEL	5	279	Evenzeer	wiktionary
DAARNA	6	280	Aanwijzend	wiktionary
WACHTEN	7	281	Op dezelfde plaats	wiktionary
DUIDELIJK	8	282	Niet mis te verstaan	wiktionary
BOEK	4	283	Buik	wiktionary
HOOR	4	284	Ter bevestiging	wiktionary
TEAM	4	285	Ploeg	wiktionary
VROEG	5	286	Eerder dan verwacht	wiktionary
LEKKER	6	287	Aangenaam van smaak	wiktionary
WEINIG	6	288	In een klein aantal	wiktionary
GEMEENTE	8	289	Gezamenlijke gelovigen	wiktionary
BLIJ	3	290	Vrolijk van stemming	wiktionary
OUD	3	291	Van hoge leeftijd	wiktionary
VOL	3	292	Geheel gevuld	wiktionary
DRUK	4	293	Pressie	wiktionary
GELIJK	5	294	Juistheid	wiktionary
LOPEN	5	295	Stappen	wiktionary
MOGEN	5	296	Ergens toestemming	wiktionary
PRECIES	7	297	Heel nauwkeurig	wiktionary
GEVAL	5	298	Één bepaalde mogelijkheid	wiktionary
ZOEKEN	6	299	Proberen te vinden	wiktionary
ZOVEEL	6	300	Bepaalde hoeveelheid	wiktionary
SOMMIGE	7	301	Onbepaald	wiktionary
BEGINNEN	8	302	Initiëren	wiktionary
AFGELOPEN	9	303	Beëindigd	wiktionary
MEI	3	304	Vijfde maand van het jaar	wiktionary
TOP	3	305	Hoogste punt	wiktionary
HALEN	5	306	Ergens heengaan	wiktionary
LEZEN	5	307	Selecteren	wiktionary
PARTIJ	5	308	Vereniging	wiktionary
WEKEN	5	309	Door langdurig	wiktionary
ZAKEN	5	310	Commerciële activiteiten	wiktionary
NUMMER	6	311	Aanduiding	wiktionary
MOEILIJK	7	312	Niet gemakkelijk	wiktionary
BEZIG	5	313	Aan het werken	wiktionary
LANGS	5	314	Terzijde van	wiktionary
MORGEN	6	315	Eerste deel van de dag	wiktionary
JANUARI	7	316	Eerste maand van het jaar	wiktionary
HULP	4	317	Handeling om iemand steun	wiktionary
KRIJG	4	318	Gewapende strijd	wiktionary
VELE	4	319	Van veel	wiktionary
KLEIN	5	320	Van geringe grootte	wiktionary
NADAT	5	321	Uitschelden	wiktionary
ZET	3	322	Beweging	wiktionary
DELEN	5	323	Samen	wiktionary
NOORD	5	324	In de richting	wiktionary
RECHT	5	325	Geheel	wiktionary
PRATEN	6	326	Zich met behulp	wiktionary
BEDANKT	7	327	Uitspraak om waardering	wiktionary
BIJVOORBEELD	11	328	Als voorbeeld	wiktionary
PRIJS	4	329	Bedrag	wiktionary
EINDE	5	330	Punt in ruimte	wiktionary
KAMER	5	331	Van de rest	wiktionary
STOND	5	332	Tijdstip	wiktionary
PROGRAMMA	9	333	Aantal activiteiten	wiktionary
ORDE	4	334	Gewenste regelmaat	wiktionary
LIGGEN	6	335	Zich horizontaal	wiktionary
VOLGEN	6	336	Achterna gaan	wiktionary
KANT	4	337	Richting	wiktionary
ZAAK	4	338	Transactie of handel	wiktionary
JUIST	5	339	Zoals het moet	wiktionary
REDEN	5	340	Klaar maken	wiktionary
LANDEN	6	341	Vanuit de zee	wiktionary
WAARDOOR	8	342	Vragend	wiktionary
GEPLAATST	9	343	Gunstige positie	wiktionary
TV	2	344	Afkorting	wiktionary
ELK	3	345	Alle afzonderlijk	wiktionary
EURO	4	346	Munt en munteenheid	wiktionary
MEDIA	5	347	Gemiddelde	wiktionary
GEWORDEN	8	348	Ten deel vallen	wiktionary
JULI	4	349	Zevende maand	wiktionary
OGEN	4	350	Aanblik hebben van	wiktionary
STUK	4	351	Deel	wiktionary
BEIDE	5	352	Elk van twee	wiktionary
MIDDEN	6	353	Centrale deel	wiktionary
SLECHT	6	354	Van lage kwaliteit	wiktionary
PROBEREN	8	355	Testen	wiktionary
GESCHIEDENIS	12	356	Geheel	wiktionary
WAARSCHIJNLIJK	12	357	Aannemelijk	wiktionary
ZES	3	358	Gehele getal tussen vijf	wiktionary
JUNI	4	359	Zesde maand van het jaar	wiktionary
PLEK	4	360	Plaats	wiktionary
LEDEN	5	361	Januari	wiktionary
BEDRIJF	6	362	Organisatie	wiktionary
GEGEVEN	7	363	Bekend geval of feit	wiktionary
LICHAAM	7	364	Geheel van botten	wiktionary
STELLEN	7	365	Doen staan	wiktionary
FEBRUARI	8	366	Tweede maand van het jaar	wiktionary
ONDERWIJS	8	367	Overbrengen van kennis	wiktionary
WEDSTRIJD	8	368	Strijd van twee	wiktionary
ROL	3	369	Uitbeelding	wiktionary
VORM	4	370	Ruimtelijke begrenzing	wiktionary
WOORD	5	371	Spraakklank	wiktionary
METEEN	6	372	Onmiddellijk	wiktionary
DOCHTER	7	373	Vrouwelijk kind	wiktionary
PERSOON	7	374	Menselijk individu	wiktionary
UITEINDELIJK	11	375	Na een hele tijd	wiktionary
LID	3	376	Iemand die behoort	wiktionary
ZAT	3	377	Verzadigd	wiktionary
BUURT	5	378	Wijk	wiktionary
KOPEN	5	379	In ruil	wiktionary
LIEFDE	6	380	Uiting of gevoel	wiktionary
CONTACT	7	381	Toestand	wiktionary
LEEFTIJD	7	382	Bepaald tijdstip	wiktionary
AUGUSTUS	8	383	Achtste maand	wiktionary
MINISTER	8	384	Gezant	wiktionary
TOEKOMST	8	385	Tijd die komen gaat	wiktionary
HART	4	386	Holle spier	wiktionary
HEEN	4	387	In de richting van	wiktionary
TIEN	4	388	Gehele getal tussen negen	wiktionary
AVOND	5	389	Periode van de dag	wiktionary
IEDER	5	390	Elk	wiktionary
BETALEN	7	391	Geld geven	wiktionary
VERGETEN	8	392	Niet gedaan hebben	wiktionary
PROVINCIE	9	393	Staatkundig onderdeel	wiktionary
ORGANISATIE	11	394	Manier	wiktionary
REST	4	395	Rust	wiktionary
ACTIE	5	396	Handeling	wiktionary
OH	2	397	Uitroep	wiktionary
GOD	3	398	Goed	wiktionary
JAN	3	399	Eten	wiktionary
BANG	4	400	Knal	wiktionary
PLAN	4	401	Voorgenomen handelswijze	wiktionary
DIRECT	6	402	Zonder te wachten	wiktionary
CENTRUM	7	403	Middelpunt	wiktionary
INTERNET	8	404	Wereldwijd netwerk	wiktionary
PRESIDENT	9	405	Staatshoofd	wiktionary
ZIN	3	406	Serie woorden	wiktionary
HTTP	4	407	Protocol	wiktionary
MENS	4	408	Zoogdier	wiktionary
BASIS	5	409	Grondslag	wiktionary
DERDE	5	410	Door drie gedeeld iets	wiktionary
ENKEL	5	411	Gewricht dat de voet	wiktionary
GELOOF	6	412	Overtuiging	wiktionary
OVERAL	6	413	Op alle plaatsen	wiktionary
GENOEMD	7	414	Vermelde	wiktionary
PROJECT	7	415	Zaak die men denkt	wiktionary
WAARVAN	7	416	Vragend van wat	wiktionary
POLITIEK	8	417	Beleid	wiktionary
KORT	4	418	Van geringe duur	wiktionary
EXTRA	5	419	Hetgeen men erbij krijgt	wiktionary
GROND	5	420	Bepaald stuk	wiktionary
ERVOOR	6	421	Vanwege de reden	wiktionary
LEIDEN	6	422	Tot	wiktionary
VALLEN	6	423	Vrijelijk	wiktionary
BESTAAN	7	424	Mogelijkheid	wiktionary
HOEVEEL	7	425	Welk aantal	wiktionary
VER	3	426	Afgelegen	wiktionary
WET	3	427	Vaste	wiktionary
EIND	4	428	Afstand	wiktionary
HARD	4	429	Stevig	wiktionary
LINKS	5	430	Betrekking hebbend	wiktionary
METER	5	431	Doopmoeder	wiktionary
SUCCES	6	432	Slagen van een opzet	wiktionary
WELKOM	6	433	Gewenst zijn te blijven	wiktionary
DAARMEE	7	434	Met dat	wiktionary
ALGEMEEN	8	435	Iedereen betreffend	wiktionary
ANTWOORD	8	436	Reactie op een vraag	wiktionary
GEWELDIG	8	437	Bijzonder groot	wiktionary
OMGEVING	8	438	Nabijheid	wiktionary
SITE	4	439	Locatie	wiktionary
STAP	4	440	Plaatsen van de ene voet	wiktionary
KLEUR	5	441	Onderscheid	wiktionary
BOEKEN	6	442	Reserveren	wiktionary
WAAROP	6	443	Vragend op wat	wiktionary
WAARMEE	7	444	Vragend met wat	wiktionary
GEHOUDEN	8	445	Verplicht zijn	wiktionary
TELEFOON	8	446	Toestel	wiktionary
BED	3	447	Meubel gemaakt	wiktionary
GEK	3	448	Draaibare kap	wiktionary
LOS	3	449	Zonder vaste verbinding	wiktionary
LIJST	4	450	Opsomming van zaken	wiktionary
STEM	4	451	Geluid	wiktionary
BEELD	5	452	Beschrijving	wiktionary
LEGER	5	453	Militaire strijdmacht	wiktionary
RIJDEN	5	454	Zich verplaatsen	wiktionary
BEZOEK	6	455	Personen	wiktionary
DIENST	6	456	Bepaalde vorm	wiktionary
VERLOREN	8	457	Verdwenen	wiktionary
INDERDAAD	9	458	Bevestiging	wiktionary
MIS	3	459	Fout	wiktionary
CLUB	4	460	Besloten gemeenschap	wiktionary
STERK	5	461	Beschikkend over kracht	wiktionary
HELAAS	6	462	Jammer genoeg	wiktionary
TOTAAL	6	463	Geheel	wiktionary
GEBOREN	7	464	Ter wereld gebracht	wiktionary
WAARONDER	9	465	Onder wat	wiktionary
ONTWIKKELING	12	466	Geleidelijke verandering	wiktionary
LICHT	5	467	Bleek	wiktionary
VOORBIJ	6	468	Bepaald punt passeren	wiktionary
VORMEN	6	469	Deel uitmaken van	wiktionary
BEDRIJVEN	8	470	Aan iets doen	wiktionary
INMIDDELS	9	471	In de tussentijd	wiktionary
VOORKOMEN	9	472	Soms gebeuren	wiktionary
VERANDEREN	10	473	Zodanig aan iets werken	wiktionary
LA	2	474	Zesde muzieknoot	wiktionary
PIJN	3	475	Lichamelijk leed	wiktionary
LINK	4	476	Gevaarlijk	wiktionary
PUNT	4	477	Klein deel	wiktionary
PRIMA	5	478	Eerste wissel	wiktionary
EILAND	6	479	Stuk land	wiktionary
JONGEN	6	480	Onvolwassen man	wiktionary
MEESTAL	7	481	In het merendeel	wiktionary
STOPPEN	7	482	Herstellen	wiktionary
AANWEZIG	8	483	Tegenwoordig zijn	wiktionary
VERWACHT	8	484	In de toekomst	wiktionary
FIJN	3	485	Van geringe dikte	wiktionary
KOP	3	486	Hoofd van een dier	wiktionary
LIET	4	487	Lied	wiktionary
TROTS	5	488	Erg blij	wiktionary
ACTIEF	6	489	Met iets bezig zijnde	wiktionary
KONING	6	490	Mannelijk hoofd	wiktionary
STRAAT	6	491	Weg tussen de huizen	wiktionary
NORMAAL	7	492	Gangbaar	wiktionary
MEERDERE	8	493	In ruim aantal	wiktionary
PRACHTIG	8	494	Bijzonder mooi	wiktionary
REGERING	8	495	Groep van personen	wiktionary
ZATERDAG	8	496	Dag van de week	wiktionary
LIVE	4	497	Rechtstreeks	wiktionary
BROER	5	498	Mannelijk kind	wiktionary
TITEL	5	499	Opschrift van een boek	wiktionary
ERGENS	6	500	Als locatief deel	wiktionary
KENNEN	6	501	Bekend	wiktionary
NOEMEN	6	502	Met een naam aanduiden	wiktionary
PERIODE	7	503	Bepaald tijdsbestek	wiktionary
SCHREEF	7	504	Maatstreep	wiktionary
EINDELIJK	8	505	Na een lange tijd	wiktionary
RICHTING	8	506	Kant op van	wiktionary
VOLLEDIG	8	507	Helemaal	wiktionary
BOVENDIEN	9	508	Op de koop toe	wiktionary
UNIVERSITEIT	12	509	Instelling	wiktionary
DORP	4	510	Kleine	wiktionary
GISTEREN	8	511	Laatste dag	wiktionary
SCHRIJVEN	8	512	Tekst	wiktionary
RAAD	4	513	Orgaan dat bestaat	wiktionary
REIS	4	514	Grote	wiktionary
STEL	4	515	Klein aantal	wiktionary
SERIE	5	516	Aantal elementen	wiktionary
START	5	517	Begin van iets	wiktionary
HOOGTE	6	518	Verheffing	wiktionary
SLAPEN	6	519	Niet goed opletten	wiktionary
STUREN	6	520	Richting bepalen	wiktionary
VERSIE	6	521	Bepaalde vorm	wiktionary
WAKKER	6	522	Niet in slaap	wiktionary
HEERLIJK	7	523	Zeer aangenaam	wiktionary
ONDANKS	7	524	Ook al is het zo dat	wiktionary
STEMMEN	7	525	Deelnemen	wiktionary
DAARNAAST	9	526	Naast dat	wiktionary
OVERLEDEN	9	527	Gestorven	wiktionary
ZIEKENHUIS	10	528	Instelling	wiktionary
TEGENWOORDIG	12	529	Aanwezig	wiktionary
IE	2	530	Beek	wiktionary
ACHT	4	531	Traject in de vorm	wiktionary
BAAN	4	532	Werk	wiktionary
HALF	4	533	Helft	wiktionary
RUIM	4	534	Van grote omvang	wiktionary
RUST	4	535	Tijdloze toestand	wiktionary
DICHT	5	536	Resultaat	wiktionary
TEKST	5	537	Woorden	wiktionary
VRIJDAG	6	538	Dag van de week	wiktionary
RELATIE	7	539	Min of meer vast verband	wiktionary
OVERHEID	8	540	Geheel	wiktionary
LES	3	541	Hen	wiktionary
BANK	4	542	Breed voorwerp	wiktionary
HOOG	4	543	Vergevorderd	wiktionary
HELFT	5	544	Fractie	wiktionary
KRACHT	6	545	Uitwendige oorzaak	wiktionary
PAGINA	6	546	Bladzijde	wiktionary
RUIMTE	6	547	Vertrek	wiktionary
VOELEN	6	548	Gewaarworden	wiktionary
ZONDAG	6	549	Dag van de week	wiktionary
ENERGIE	7	550	Vermogen	wiktionary
SPREKEN	7	551	Zich met behulp	wiktionary
SITUATIE	8	552	Ligging	wiktionary
ONTVANGEN	9	553	Verkrijgen van zaken	wiktionary
KERK	4	554	Openbaar gebouw	wiktionary
TAAL	4	555	Systeem	wiktionary
WEST	4	556	Richting	wiktionary
KAART	5	557	Schematische afbeelding	wiktionary
GEHEEL	6	558	Alle delen	wiktionary
VROEGER	7	559	In voorbije tijden	wiktionary
GEBEUREN	8	560	Plaatshebben	wiktionary
VOORBEELD	9	561	Iets dat bestaat	wiktionary
BRON	4	562	Begin	wiktionary
FEIT	4	563	Gebeurtenis	wiktionary
HEET	4	564	Heel warm	wiktionary
GEZET	5	565	Zwaarlijvig	wiktionary
RADIO	5	566	Toestel	wiktionary
GEVOLG	6	567	Groep die volgt	wiktionary
GEZICHT	7	568	Voorkant	wiktionary
HEER	4	569	Man	wiktionary
JONG	4	570	Van geringe leeftijd	wiktionary
SLAG	4	571	Militair treffen	wiktionary
KEUZE	5	572	Besluit	wiktionary
DRAGEN	6	573	Als kledingstuk	wiktionary
KENNIS	6	574	Wat je weet	wiktionary
GELEGEN	7	575	Geschikt	wiktionary
PLEZIER	7	576	Staat van genoegen	wiktionary
GEVALLEN	8	577	Gebeuren	wiktionary
BETROKKEN	9	578	Die erbij horen	wiktionary
ENE	3	579	Vorm van één	wiktionary
WIT	3	580	Verstand	wiktionary
HAAG	4	581	Afscheiding bestaande	wiktionary
HOTEL	5	582	Gebouw	wiktionary
MARKT	5	583	Plein of straat	wiktionary
ZOMER	5	584	Jaargetijde tussen lente	wiktionary
ZWART	5	585	Hebbend	wiktionary
EERLIJK	6	586	Vrij van leugen	wiktionary
LEGGEN	6	587	Doen liggen	wiktionary
RUSTIG	6	588	Kalm	wiktionary
WINNEN	6	589	Als beste partij	wiktionary
CULTUUR	7	590	Patroon	wiktionary
DAARVAN	7	591	Van dat	wiktionary
ECONOMIE	8	592	Zuinigheid	wiktionary
VAL	3	593	Algemeen	wiktionary
FOUT	4	594	Onjuist	wiktionary
LUCHT	5	595	Mengsel van gassen	wiktionary
PAKKEN	6	596	In de handen nemen	wiktionary
GESPREK	7	597	Mondelinge conversatie	wiktionary
