word	current_clue
EXCELSIOR	Steeds hoger
MOBIELTJE	Gsm
ONDERGOED	Kleding die direct
ONROEREND	Niet gemakkelijk
SCHORSING	Voorlopig
CONSUMPTIE	Iets dat men kan opeten
VERZORGING	Geven van zorg
BEVOEGDHEID	Recht
EENZAAMHEID	Hoedanigheid
KENNISMAKEN	Voor de eerste keer
STAATSGREEP	Illegale afzetting
ONTWIKKELAAR	Oplossing
PROGRAMMEREN	Schrijven
VERPLEEGSTER	Vrouw
HAPJE	Klein gerechtje
NAALD	Soort gereedschap
WORST	Toegebonden eind darm
BRAKEN	Na het roten kneuzen
GOKKEN	Iets van waarde
GRANDE	Iemand die behoort
IMPULS	Innerlijke drang
MENTOR	Begeleider
MORAAL	Waarden en normen
ORGAAN	Onderdeel
ZOMERS	Genitief
LANDING	Is het deel
NOTARIS	Jurist
BEREKEND	Listig
BEVROREN	Door afkoeling
FOCUSSEN	Richten op één punt
GRAFISCH	Betrekking hebbend
MAKELAAR	Verticale balk
ACHTERSTE	Zitvlak
NAVOLGING	Imitatie
OPRICHTEN	Instelling
VERPESTEN	Ervoor zorgen
VERSIEREN	Langs weg regelen
ACCOUNTANT	Boekhouder
COMPILATIE	Resultaat
OVERWINNEN	Tegenstander of zwakte
COMFORTABEL	Gerieflijk
GENOOTSCHAP	Vereniging
HOORZITTING	Zitting
ISLAMITISCH	Van
MANSCHAPPEN	Soldaten of matrozen
PUBLICITEIT	Openbaarheid
BROEDERSCHAP	Vereniging
DEMONSTREREN	Iets voordoen
ANITA	Dom
BOARD	Paneel
CLAIM	Aanspraak op vergoeding
DONNA	Respectvolle aanduiding
FAUNA	Geheel aan dieren
GODIN	Vrouwelijke godheid
TRUCK	Vrachtauto
DEALER	Verkoper
GEDEKT	Onopvallend
GEDING	Rechtbank
GENOOT	Gelijke
LIKKEN	Met de tong aanraken
LOUTER	Puur
MEKAAR	Elkaar
MODDER	Mengsel van aarde
POLDER	Bedijkt stuk land
PREMIE	Betaling
VOORTS	Ter aanduiding
VRUCHT	Ongeboren jong
LOGEREN	In huis opnemen
OPZICHT	Manier waarop je er
OUTDOOR	Buiten de deur
VERBAAL	Met woorden
VERMAAK	Amusement
WEGGAAN	Uitgaan
AANMAKEN	Nieuw exemplaar
APOTHEEK	Plaats
FORMATIE	Vorming
ONEERLIJK	Niet eerlijk
ONGEWOON	Afwijkend
OPPASSEN	Opletten
BIOGRAFIE	Beschrijving
GELIJKHEID	Overeenkomst
RENDEMENT	Opbrengst
VERLEIDEN	Tot kwaad brengen
VOLSTREKT	Geheel en al
DRAMATISCH	Aanstellerig
KATHEDRAAL	Hoofdkerk
KLASSIEKER	Wedstrijd
ONTEVREDEN	Behoefte voelend
RACISTISCH	Voortkomend
STATISTIEK	Wetenschap
VOORGANGER	Dienstdoende predikant
WIELRENNEN	Hardrijden op de fiets
VERBEELDING	Iets visualiseren
ZONDAGAVOND	Latere uren
BESCHULDIGEN	Iemand de schuld geven
FILMFESTIVAL	Feestelijk evenement
GERESERVEERD	Vrijgehouden
ONDERTEKENEN	Handtekening zetten
CLOWN	Bespottelijk
EMMER	Altijd
KAPEL	Klein kerkgebouw
MICRO	Toestel
SOUND	Geluid
WREED	Meedogenloos
ZUCHT	Eerste afscheiding
DEKKEN	Voorzien van een dak
DIESEL	Motor
MOREEL	Wat het betreft
SALADE	Gerecht
SOEPEL	Gemakkelijk buigend
BOEIEND	Interessant
BOTSING	Conflict of ruzie
GALERIE	Ruimte waar kunstwerken
GRAFIEK	Afbeelding
HOOGUIT	Maximaal ingeschat
KRINGEN	Cirkel vormen
KWETSEN	Beschadigen
MIJNHEER	Heer des huizes
TACTIEK	Manier
VAARWEL	Groet bij een afscheid
ACHTERNA	Iemand of iets volgend
BEDOELEN	Met een woord
LITERAIR	Behorend tot
ONTKOMEN	Ergens aan ontsnappen
SMAKELIJK	Goed van smaak zijnd
STROMING	Bepaalde beweging
TRAGEDIE	Toneelspel dat handelt
VERVELEN	Saai zijn
BOVENKANT	Rijkste
DEELSTAAT	Staat
HAMBURGER	Schijf rundvlees
NIEUWJAAR	Jaar dat net begonnen is
REPORTAGE	Verslag
UITZETTEN	In volume toenemen
BEKENTENIS	Verklaring
BELEDIGING	Krenking
FATSOENLIJK	Degelijk
LANGSKOMEN	Voorbijgaan
OVERTREDEN	Bepaalde denkbeeldige
UITSTERVEN	Proces
FASCINEREND	Aandacht opeisend
HANDSCHRIFT	Manier
VEROORDELEN	Zeggen
ALLERLAATSTE	Minst
GEBRUIKMAKEN	Nuttig inzetten
HERHAALDELIJK	Vaak
SCHUILPLAATS	Plek om ergens
CRAZY	Krankzinnig
