EVEN	Kort	Deelbaar door 2
AF	Klaar	Voltooid
LAAT	's Avonds	Op het eind
UUR	60 minuten	Tijdstip
BENT	Vorm van zijn	Tweede persoon
KEER	Maal	Draai
WEG	Route	Verdwenen
HELE	Complete	Totale
WERK	Baan	Klus
ZIT	Is gezeten	Neemt plaats
DRIE	Telwoord	Cijfer 3
ZELF	Eigen	In eigen persoon
TOE	Gesloten	Als extra
SNEL	Vlug	Vlot
DEEL	Portie	Segment
HUIS	Woning	Pand
WANT	Voegwoord	Touwwerk
ERG	Bijzonder	Naar
LAND	Natie	Staat
NAAM	Benaming	Reputatie
STAD	Gemeente	Metropool
PER	Voorzetsel	Elk
LANG	Groot	Uitgerekt
ELKE	Ieder	Stuk voor stuk
KOM	Schaal	Nader
PAAR	Stel	Enkele
KIJK	Zie	Visie
FOTO	Kiekje	Plaatje
GELD	Poen	Centen
LEUK	Aardig	Grappig
VAAK	Dikwijls	Veelal
TEN	Voorzetsel	Formeel vz
MOOI	Fraai	Knap
WEEK	7 dagen	Zacht
DOOD	Levenloos	Sterfte
KON	Vermocht	Was in staat
ROND	Bolvormig	Omheen
JOUW	Bezittelijk vnw	Van jou
TER	Voorzetsel	Formeel vz
ETEN	Nuttigen	Voedsel
OUDE	Antieke	Bejaarde
MEN	Onbep. vnw	Iedereen
NOU	Welnu	Enfin
HOOP	Wens	Stapel
OPEN	Ontsloten	Vrij
AUTO	Wagen	Voertuig
DEN	Naaldboom	Conifeer
FILM	Rolprent	Laagje
NIKS	Nul	Niets
ZOEK	Kwijt	Verdwenen
HEN	Persoonlijk vnw	Kip
ZEG	Verklaar	Hoor eens
VIER	Telwoord	Feest
PAS	Nog maar net	Bewijs
OOIT	Weleens	Eens
VAST	Stevig	Zeker
ZEER	Erg	Pijn
ZUID	Onder	Beneden
VRIJ	Los	Tamelijk
BEST	Puik	Prima
IDEE	Inval	Gedachte
DER	Lidwoord	Genitief
KANS	Optie	Toeval
HAND	Poot	Uiterste deel
ZOON	Telg	Mannelijk kind
KIND	Spruit	Telg
ZORG	Hulp	Onrust
BOEK	Werk	Lectuur
HOOR	Verneem	Echt waar
TEAM	Ploeg	Groep
BLIJ	Vrolijk	Verheugd
OUD	Antiek	Bejaard
VOL	Gevuld	Overladen
DRUK	Bezig	Pressie
MEI	5e maand	Vóór juni
TOP	Piek	Geweldig
HULP	Bijstand	Steun
KRIJG	Ontvang	Verwerf
VELE	Talrijke	Diverse
ZET	Stap	Plaatst
PRIJS	Tarief	Beloning
ORDE	Regelmaat	Structuur
KANT	Zijde	Vitrage
ZAAK	Kwestie	Firma
TV	Televisie (afk.)	Beeldbuis
ELK	Ieder	Apart
EURO	Munt	Valuta
JULI	7e maand	Hooimaand
OGEN	Kijkers	Lijken
STUK	Fragment	Kapot
ZES	Telwoord	Cijfer 6
JUNI	6e maand	Voor juli
PLEK	Locatie	Stee
ROL	Functie	Broodje
VORM	Gedaante	Gestalte
LID	Genoot	Gewricht
ZAT	Dronken	Verbleef
HART	Kloppend orgaan	Centrum
HEEN	Weg	Vooruit
TIEN	Telwoord	Cijfer 10
REST	Overschot	Residu
OH	Ach	Aha
GOD	Heer	Schepper
JAN	Voornaam	Gewone man
BANG	Angstig	Bevreesd
PLAN	Voornemen	Opzet
ZIN	Bewering	Trek
HTTP	Protocol (afk.)	Webadres begin
MENS	Persoon	Individu
KORT	Beknopt	Bondig
VER	Afgelegen	Op afstand
WET	Regel	Statuut
EIND	Slot	Afloop
HARD	Stevig	Luid
SITE	Webpagina	Webstek
STAP	Schrede	Pas
BED	Ledikant	Rustbank
