word	current_clue
KLIMMEN	Bewegen
KNUFFEL	Liefdevolle omhelzing
MAXIMUM	Hoogste waarde
OLIFANT	Groot dikhuidig
VORMING	Ontstaan
WATEREN	Urine uitscheiden
ZESTIEN	Natuurlijk getal
COMMANDO	Bevel
DIAGNOSE	Vaststelling
ERKENNEN	Inzien
GEWAPEND	Voorzien van voorwerp
INHEEMSE	Vrouw
STADHUIS	Gebouw
TOESTAAN	Iets niet verbieden
BEGROTING	Raming
BLOKKEREN	Zorgen
EERBETOON	Blijk van verering
SCHAKELEN	Verbinding
UNIVERSUM	Besloten wereld
VOLHOUDEN	Doorgaan
BESCHAVING	Complexe maatschappij
CHRISTENDOM	Deel der wereld
GODVERDOMME	Grove vloek die boosheid
ONZICHTBAAR	Niet waarneembaar
BEEST	Dier
KONIJN	Zoogdier behorend
STEEL	Staaf
ACCENT	Manier
BEGAAN	Iets doen dat onjuist
BLINDE	Vensterluik
GROOTS	Verheven
NADEEL	Ongunstige eigenschap
OPSLAG	Berging
POTTER	Soort schip
TENNIS	Balsport
ZOENEN	Met de mond liefkozen
AANDOEN	Aantrekken
MIDDELS	Tussen twee uiteinden
SNAPPEN	Iets vatten in de zin
SCHAAMTE	Gevoel
SCHEPPEN	Doen ontstaan
VERLAGEN	Op een lager peil brengen
DOELGROEP	Groep
DOORLOPEN	Lopen
HYPOTHEEK	Zakelijke zekerheid
REPAREREN	Iets weer
TOEPASSEN	Gebruiken
VERKENNEN	Onbekend
AANVULLING	Bijgevoegde
BINNENLAND	Deel van een land
DIERENTUIN	Verzameling levende
GEAARDHEID	Zoals iemand nu eenmaal
INSPECTEUR	Rang in de hiërarchie
WACHTWOORD	Geheim woord
OVERTUIGING	Sterke mening
KINDEROPVANG	Verzorging
NATUURGEBIED	Gebied
DRIVE	Snelle
EMAIL	Tandglazuur
PENIS	Staart
STRIP	Boek met een verhaal
TROON	Zetel waar een vorst
EXPORT	Uitvoer van goederen
HAKKEN	Houwen
MOEDIG	Geen angst
ORKEST	Groep musici
SCHILD	Voorwerp dat als afweer
TIENDE	Gedeeld
ZOLDER	Houten vloer
CONTINU	Voortdurend
OVERSTAP	Verhoging bij een hek
VERTONEN	Laten zien
AGRESSIEF	Aanvallend
UITKERING	Betaling van geld
AANTREKKEN	Kracht uitoefenen
ELEKTRISCH	Door middel
TERUGKOMEN	Opnieuw
INSTALLEREN	Plaatsen van toestellen
OVERTUIGEND	Zodanig
TOETSENBORD	Apparaat waarmee
GEGARANDEERD	Beloofd
LEKEN	Druipen
VUREN	Schoten lossen
HONING	Zoete stof
JEGENS	Tegenover
TURKEN	Plagen
GUNSTIG	Ten voordeel strekkend
ONNODIG	Niet noodzakelijk
OPLOPEN	Naar boven hellen
SCHIJNEN	Zich voordoen
EVENVEEL	In gelijke hoeveelheid
GENOEGEN	Iets waar men plezier
LOOPBAAN	Is de reeks
WELVAART	Mate waarin de behoeften
MERENDEEL	Grootste deel
SATELLIET	Kunstmaan
GELEIDELIJK	In geordende
HERDENKING	Gebeurtenis
HUISHOUDEN	Grote rommel
LUCHTMACHT	Krijgsmacht
OVERDRACHT	Doorgeven van kracht
UITBRENGEN	Doen verschijnen
PSYCHOLOGIE	Wetenschap
ZENUWACHTIG	Lijdend
BEDRIJFSLEVEN	Geheel
SCHIEREILAND	Landmassa
BLANK	Niet beschreven
FUSIE	Samenvoegen
KRING	Ronde figuur
SUITE	Uitgebreide hotelkamer
ZWEET	Transpiratie
ARREST	Aanhouding
COLUMN	Kort stukje proza
CYCLUS	Terugkerende
MOTIEF	Reden om iets te doen
ORKAAN	Bijzonder hevige storm
PARADE	Schouwspel in de vorm
TABLET	Pastille
TROOST	Steun bij verdriet
VERSUS	Tussen de naam
WOUTER	Volksnaam
ZWAARD	Lang
AFFAIRE	Zaak
GERUCHT	Lawaai
GEWEZEN	Vroegere
GROENTE	Eetbare planten
INBRAAK	Zich
MEDICIJN	Chemische stof
PLAFOND	Bovenkant
VOORAAN	Van voren
AGRESSIE	Bedreiging met geweld
BENOEMEN	Iets een naam geven
DIRECTIE	Leiding van een bedrijf
HOOFDROL	Centrale figuur
NEUTRAAL	Geen partij kiezend
ONDERDAK	Plaats
SLAVERNIJ	Toestand
WEKELIJKS	Maal per week
ZODOENDE	Op die wijze
DOORBRAAK	Plek waar een dijk
EINDSTAND	Bij een wedstrijd
SCHRIKKEN	Beweging
VERMELDEN	Feit noemen
VROUWELIJK	Met betrekking
PROPAGANDA	Activiteiten
VERHUIZING	Verwisseling
INTELLIGENT	Met een goed verstand
NOORDOOSTEN	Streken
OVERTREDING	Politiestraf uitgesproken
TEGENHOUDEN	Verhinderen
VOORSPELLEN	Uitspraak doen
UITZONDERLIJK	Niet alledaags
VERSCHULDIGD	Verplicht
CHIPS	Uitroep van ergernis
CLOSE	Sluiten
GEVEL	Buitenmuur
JAGER	Vliegtuig
NATIE	Groep mensen
POTJE	Spel of ronde
SCENE	Geheel van personen
BALKON	Bouwkundig onderdeel
BOTTEN	Knoppen krijgen
ENTREE	Ingang van een gebouw
LOGICA	Wetenschap
OUTFIT	Uitrusting
PESTEN	Jennen
PIKKEN	Iets wegnemen
WALKER	Volder
ZUIVER	Onbezoedeld
CAPTAIN	Aanvoerder
CHECKEN	Controleren
HORIZON	Denkbeeldige lijn
AFLEGGEN	Voorbereiden
BISSCHOP	Christelijke geestelijke
ENERZIJDS	Aan de ene kant
INVOEREN	Iets nieuws introduceren
KRUISING	Punt waar twee
SCHAFFEN	Beschikbaar maken
WOONHUIS	Bouwwerk
AANWIJZING	Inlichting
ACHTERAAN	Direct volgend
BEVALLING	Baren van een kind
INLEIDING	Tekst
PRAKTIJKEN	Bedenkelijke daden
VERZETTEN	Van de ene
BONDSCOACH	Coach in dienst
ONGELUKKIG	Je niet goed voelen
VERRICHTEN	Prestatie leveren
VOETBALLEN	Balspel
GEREEDSCHAP	Instrument
STRATEGISCH	Als van een krijgsheer
DOELSTELLING	Gewenste situatie
BOBBY	Engelse politieagent
DOSIS	Hoeveelheid
HELEN	Gezond worden
KNOOP	Vloek
