MATIG	Sober	Karig	Niet goed
RAKET	Vuurpijl	Missiel
NAUWKEURIG	Precies	Exact	Secuur
PREFECTUUR	Bestuur	Provincie
TEGENKOMEN	Ontmoeten	Treffen
VERLENGING	Extra tijd	Overtijd
ASSORTIMENT	Aanbod	Keuze	Reeks
COMPENSATIE	Beloning	Extra geld
VERWELKOMEN	Begroeten	Ontvangen
PAKJE	Cadeautje	Doosje
RADAR	Detector	Peiler
SHOCK	Schok	Schrik	Trauma
STORT	Belt	Afvalplek
TENEN	Voetdelen	Uiteinden
DONDER	Onweer	Gerommel	Gedreun
DUIDEN	Wijzen	Aangeven
KRAMER	Koopman	Handelaar
SCHAAP	Herkauwer	Lam
SCRIPT	Draaiboek	Scenario
BELOVEN	Toezeggen	Zweren
KENMERK	Kenteken	Trek
KRUIPEN	Sluipen	Kronkelen
UITGANG	Exit	Deur	Output
VERRAAD	Ontrouw	Bedrog
VIERING	Feest	Dwarsbeuk
VULKAAN	Vuurberg	Krater
CONTRAST	Verschil	Afsteking
INFECTIE	Ziekte	Kwaal
SYNDROOM	Kwaal	Stoornis
BUURVROUW	Naaste	Vrouw naast
DICTATUUR	Tirannie	Regime
GELIJKSPEL	Remise	Onbeslist
OBJECTIEF	Neutraal	Doel	Lens
ONDERKANT	Beneden	Bodem
VERBAZING	Paf staan	Schrik
AANVAARDEN	Aannemen	Erkennen
CHRISTELIJK	Kerkelijk	Gelovig
CONCURRENT	Rivaal	Opponent
GRAAFSCHAP	Provincie	Gebied
POTENTIEEL	Mogelijk	Vermogen
PSYCHOLOOG	Therapeut	Adviseur
ALIAS	Bijnaam	Nepnaam
BRUTO	Zonder aftrek	Totaal
GENRE	Soort	Categorie	Stijl
KLOOF	Ravijn	Spleet	Barst
OPHEF	Lawaai	Commotie	Drukte
PASTA	Deegwaren	Spaghetti
INTERN	Binnen	Innerlijk
LETSEL	Kwetsuur	Trauma
RACHEL	Lat	Plankje
RESTEN	Overschot	Kliekjes
STAPEL	Hoop	Berg	Helling
WEBLOG	Blog	Dagboek
ZENDEN	Sturen	Versturen
ZIEKEN	Sarren	Pesten	Treiteren
KNIPPEN	Snijden	Kappen
MEETING	Overleg	Sessie
ROOSTER	Schema	Grill
WOEDEND	Razend	Kwaad	Furieus
BLESSURE	Kwetsuur	Letsel
GESCHENK	Cadeau	Gift	Presentje
MUZIKAAL	Begaafd	Melodieus
RELEVANT	Passend	Terzake
SERVEREN	Opdienen	Opslaan
SPECTRUM	Scala	Reeks
TRANSFER	Overstap	Wissel
VERRADEN	Bedriegen	Beklikken
WERKPLEK	Kantoor	Atelier
CONTINENT	Landmassa	Vasteland
HARDLOPEN	Rennen	Joggen
OMSTREEKS	Circa	Ongeveer	Rond
RELIGIEUS	Vroom	Gelovig
BIOLOGISCH	Organisch	Eco
HANDHAVING	Toezicht	Controle
OVERVALLEN	Beroven	Verrassen
UITSPREKEN	Zeggen	Verklaren
EXPLOITATIE	Uitbaten	Benutting
RECHTSPRAAK	Justitie	Vonnis
ASIEL	Toevlucht	Onderdak
HAMER	Moker	Werktuig
KASSA	Balie	Toonbank
SLOOP	Overtrek	Afbraak
STANK	Vieze lucht	Walm
VEREN	Pluimen	Dempen
GEWEST	Regio	Provincie
MUNTEN	Centen	Kleingeld
OPINIE	Mening	Oordeel	Visie
SQUARE	Braaf	Ouderwets
WERPEN	Gooien	Baren
AFMAKEN	Voltooien	Doden
DUIVELS	Demonisch	Verdorie
KOLONIE	Vestiging	Wingewest
MADONNA	Heilig beeld	Zangeres
OPMAKEN	Gebruiken	Opstellen
ROTZOOI	Rommel	Bende	Puinhoop
SCOOTER	Brommer	Bromfiets
TRAILER	Aanhanger	Oplegger
TRIBUNE	Zitplaats	Stadion
VOLDAAN	Tevreden	Betaald
BETREDEN	Ingaan	Belopen
DIAMETER	Doorsnede	Breedte
MYSTERIE	Raadsel	Geheim	Enigma
PUINHOOP	Ravage	Bende
VOORDEUR	Hoofddeur	Ingang
BEWERKING	Operatie	Montage
TWITTEREN	Tweeten	Fonkelen
VOLKSLIED	Nationaal lied	Hymne
AANDOENING	Kwaal	Ziekte
DISCIPLINE	Vakgebied	Orde
WAARDELOOS	Nutteloos	Prullerig
GERECHTSHOF	Rechtbank	Justitie
INSCHRIJVING	Opgave	Inzending
INVESTERING	Belegging	Inleg
VLUCHTELING	Ontheemde	Balling
ONGEMAKKELIJK	Onprettig	Gênant
PARTICIPATIE	Deelname	Inspraak
AMBER	Barnsteen	Goudbruin
DORST	Droge keel	Verlangen
FLORA	Gewassen	Vegetatie
PARFUM	Geur	Luchtje	Reukwater
BEHEREN	Besturen	Leiden	Runnen
KAPITAAL	Vermogen	Geldsom
OVEREIND	Rechtop	Verticaal
SCHENKEN	Geven	Doneren	Gieten
WEERGAVE	Beeld	Vertoning
AANGETAST	Verzwakt	Ziek
BENADEREN	Naderen	Aanpakken
DOORSTAAN	Overleven	Verduren
OUDERWETS	Antiek	Passé
SPORTPARK	Speelveld	Stadion
SUGGESTIE	Voorstel	Tip	Idee
VOORHOOFD	Boven ogen	Deel gezicht
KLAARMAKEN	Bereiden	Regelen
VOORPAGINA	Omslag	Cover
BEVORDERING	Promotie	Verhoging
BINNENKOMEN	Arriveren	Ingaan
PERFORMANCE	Prestatie	Optreden
VEROORDELING	Vonnis	Afkeuring
BLOEI	Groei	Voorspoed
FLUIT	Piccolo	Pijpje
HORST	Verhoging	Heuvelrug
KRAAN	Hijstuig	Tappunt
SHELL	Granaat	Schelp
TIJGER	Roofdier	Grote kat
VORST	Koning	Vrieskou	Nok
KAPPER	Coiffeur	Barbier
KEURIG	Netjes	Verzorgd
ONEENS	Tegen	Afwijkend
OPMARS	Opgang	Aanval
SLEPEN	Trekken	Sjorren
WERVEN	Ronselen	Inlijven
BLIKKEN	Conserven	Kijken
BRANCHE	Sector	Vakgebied
COMPLOT	Intrige	Kuiperij
COUNTRY	Land	Streek
DREIGEN	Bangmaken	Chanteren
FORMEEL	Officieel	Plechtig
KLETSEN	Praten	Roddelen	Babbelen
PELOTON	Groep	Sectie
ROTONDE	Cirkel	Rond kruispunt
VLEKKEN	Smetten	Vegen
CONCREET	Tastbaar	Specifiek
EXECUTIE	Doodstraf	Fusillade
INPAKKEN	Bundelen	Vullen
MANNELIJK	Viriel	Stoer
MISSELIJK	Wee	Beroerd
RECEPTIE	Ontvangst	Balie
UITGEPUT	Doodmoe	Afgemat	Bekaf
GEESTELIJK	Mentaal	Priester
IDEOLOGIE	Leer	Denkwijze
KRUISPUNT	Knooppunt	Splitsing
MEDICATIE	Middel	Kuur
ONDERGANG	Val	Verval
OPVATTING	Mening	Standpunt
OVERBODIG	Nodeloos	Onnodig
WEDERZIJDS	Gedeeld	Samen
FRUSTRATIE	Ergernis	Onvrede
VASTLEGGEN	Noteren	Opslaan
SPORTSCHOOL	Gymzaal	Fitness
WILLEKEURIG	Toevallig	Lukraak
AANKONDIGING	Bericht	Melding
GEZELLIGHEID	Aangename sfeer	Knusheid
OVERDUIDELIJK	Evident	Klip en klaar
DOORN	Stekel	Punt
MAKER	Auteur	Schepper
MYTHE	Sage	Legende	Fabel
SCHIJN	Waan	Imago
SPUIT	Naald	Injectie
DAPPER	Moedig	Stoer
ETAPPE	Traject	Fase
GEHOOR	Publiek	Oor
KWALIJK	Slecht	Erg
TRAUMA	Shock	Wond
ZINKEN	Verzuipen	Zakken
