GEK	Mal	Dwaas	Getikt
STIL	Rustig	Geruisloos	Zwijgend
BUS	Voertuig	Blik	Coach
HOI	Hallo	Hé	Dag
BABY	Zuigeling	Wichtje	Kindje
OOG	Kijker	Naaldgat	Blik
WIJK	Buurt	Stadsdeel	Ga opzij
GANG	Corridor	Vaart	Bende
MOND	Bek	Opening	Muil
BOUW	Constructie	Aanleg	Maak
BEL	Schel	Oproep	Draai
MAMA	Moeder	Ma	Mams
EX	Voormalig lief	Vroegere partner	Voorganger
LAG	Was liggend	Bevond zich	Rustte
RIJK	Vermogend	Welvarend	Imperium
RUG	Wervels	Torso	Heuvelkam
DING	Voorwerp	Zaak	Spul
SHOW	Voorstelling	Optreden	Vertoning
TYPE	Soort	Categorie	Toets in
WARM	Heet	Aangenaam	Hartelijk
ZIEK	Ongesteld	Onwel	Lijdend
KOOP	Deal	Aanschaf	Bestel
OOST	Windstreek	Richting	Oriënt
BOS	Woud	Bundel	Ruiker
ROOD	Scharlaken	Kleur van bloed	Blozend
ERIN	Daarin	Binnenin	Naar binnen
GOUD	Edelmetaal	Kostbaar	Medaille
LEEK	Niet-vakman	Amateur	Scheen
MUUR	Wand	Schutting	Barrière
WIJZE	Manier	Methode	Verstandig
EL	Lengtemaat	Oude maat	Armlengte
VUUR	Brand	Vlam	Schiet
MAAT	Afmeting	Vriend	Tel
DAK	Bovenkant	Bedekking	Kap
NEER	Omlaag	Naar beneden	Onderuit
SINT	Heilige	Bisschop	Mijter
TIPS	Adviezen	Fooien	Uiteinden
MEDE	Ook	Tevens	Eveneens
STIJL	Manier	Trant	Elegantie
WIND	Tocht	Bries	Storm
PRO	Voorstander	Voor	Beroeps
HOEF	Voet (paard)	Heb nodig
HOEK	Punt	Vishaak	Kwartier
LAAG	Niet hoog	Niveau	Stratum
BRUG	Viaduct	Overgang	Passage
DIEP	Peilloos	Intens	Grondig
KAMP	Bivak	Basis	Zijde
LAGE	Niet hoge	Onderste	Gemene
LIEF	Aardig	Schattig	Schat
TUIN	Hof	Perceel	Grond
MIN	Lager	Negatief	Voedster
CODE	Sleutel	Wetboek	Chiffre
LEER	Huid	Doctrine	Studeer
MEID	Meisje	Griet	Wijf
VELD	Akker	Terrein	Weiland
BAL	Rond ding	Dansfeest	Gala
DES	Genitief	Formeel lidw	Verouderd
PAK	Kostuum	Zending	Grijp
BOOM	Plant	Hausse	Barrière
VLAG	Vaandel	Banier	Wimpel
VOET	Ledemaat	Basis	Bodem
WENS	Verlangen	Begeerte	Wil
CITY	Centrum	Binnenstad	Stadshart
KUST	Zeerand	Strand	Zeekant
SPIJT	Berouw	Leedwezen	Jammer
KOUD	Fris	Kil	Ijzig
MARK	Duitse munt	Voornaam	Grensland
BAAS	Chef	Werkgever	Meester
DUUR	Looptijd	Kostbaar	Prijzig
BAD	Wasbeurt	Kuip	Bassin
THEE	Aftreksel	Warme drank	Drankje
AS	Spil	Reststof	Muzieknoot
PAD	Amfibie	Route	Spoor
ANTI	Tegen	Contra	Afwijzend
BOOT	Vaartuig	Schip	Sloep
GAST	Bezoeker	Genodigde	Kerel
MERK	Label	Firma	Voel
TEST	Proef	Examen	Toets
AT	Nuttigde	Verorberde	Peuzelde
OMA	Opoe	Bejaarde vrouw	Oudje
TON	Vat	Gewicht	Voornaam
BERG	Piek	Massief	Ruim op
BIER	Pils	Gerstenat	Brouwsel
DAME	Vrouwe	Koningin	Mevrouw
HAAL	Ga halen	Zwemslag	Streep
RAAR	Vreemd	Bizar	Apart
WARE	Echte	Oprechte	Product
ARM	Ledemaat	Berooid	Schraal
DOM	Kathedraal	Hoofdkerk	Stom
LEEG	Ledig	Ontruimd	Kaal
STOF	Weefsel	Vuil	Materie
TIME	Tijd (Engels)	Tijdstip	Moment
VIS	Zwemmer	Waterdier	Hengel op
KLAS	Leerjaar	Groep	Niveau
PERS	Media	Reporters	Knijp
LAS	Verslond	Nam door	Naad
DATE	Afspraakje	Ontmoeting	Uitje
GLAS	Beker	Ruit	Kristal
GOLF	Baar	Balsport	Deining
SLIM	Pienter	Schrander	Handig
TOUR	Excursie	Ronde	Etappe
BIG	Varkentje	Groot (Engels)	Flink
MOE	Afgemat	Uitgeput	Slap
OUT	Eruit	Verouderd	Uitgeteld
HANS	Voornaam	Mansnaam	Duitse naam
KEEK	Staarde	Gluurde	Loerde
UNIE	Verbond	Bond	Alliantie
MA	Moeder	Mem
HOF	Paleis	Tuin	Rechtbank
ARME	Behoeftige	Berooide	Sukkel
GAME	Spel	Wedstrijd	Partij
MATE	Graad	Omvang	Niveau
NEUS	Snuit	Boeg (van schip)	Voorkant
PAUS	Kerkvorst	Heilige Vader	Bisschop
SHIT	Rommel	Onzin	Verdorie
SLOT	Einde	Besluit	Grendel
TRAP	Opgang	Schop	Sla
LEG	Zet neer	Plaats	Poot neer
LUL	Sukkel	Eikel	Onbenul
TAS	Zak	Koffer	Kopje
BOB	Slee	Rijder	Voornaam
DODE	Overledene	Lijk	Levenloze
JACK	Jasje	Blouson	Voornaam
KONT	Billen	Achterste	Derrière
RING	Sieraad	Arena	Rondweg
ZAK	Tas	Buidel	Sukkel
DATA	Gegevens	Informatie	Cijfers
GRAP	Mop	Kwinkslag	Geintje
HELD	Kampioen	Heros	Idool
HOMO	Gay	Roze	Anders geaard
RACE	Wedstrijd	Wedren	Koers
BAR	Kroeg	Toog	Luchtdruk
DIK	Vet	Gezet	Fors
EER	Voordat	Aanzien	Respect
KAT	Poes	Huisdier	Feeks
HOME	Thuis (Engels)	Tehuis	Basis
KIES	Maaltand	Selecteer	Stem
MISS	Juffrouw (Engels)	Schone	Titel
PLUS	Positief	Voordeel	Erbij
CD	Schijfje	Schijf	Compact (afk.)
