word	current_clue
RESTAURANT	Versterkende voeding
ONTWIKKELEN	Ontstaan
VOORNAMELIJK	In hogere mate
ADRES	Verzoek
DEBAT	Steekspel
BEHULP	Hulp
DAAROP	Op dat
EFFECT	Uitwerking
STEKEN	Doorboren
COMPLEET	Volledig
DISTRICT	Gebied
GEDEELTE	Minder dan het geheel
EVENEMENT	Belangrijke gebeurtenis
VERWIJDERD	Afgelegen
ONTZETTEND	Waarvan je schrikt
VERBINDING	Chemische stof
VERWIJDEREN	Weghalen
BOMEN	Langdurig
BROEK	Kledingstuk
FLINK	Stevig van lichaamsbouw
INEENS	Snel en onverwachts
STATUS	Aanzien
DICHTBIJ	Niet ver van
VERSLAG	Bericht
GEREGELD	Waar al voor gezorgd is
GEMEENSCHAP	Met één
KADER	Situationele context
KLANT	Afnemer van een product
PAARD	Dat als rijdier
ROUTE	Weg die men aflegt
KEUKEN	Plaats
EENHEID	Gevoel
MEVROUW	Formele manier
SERVICE	Bediening
OPERATIE	Chirurgische ingreep
UITERAARD	Uit de aard
MEDEWERKER	Iemand die met anderen
SFEER	Geheel van gedachten
SPOOR	Afdruk
VOORT	Verder gaan
EROVER	Boven dit
MILIEU	Sociale omgeving
MINUUT	Eenheid van tijd
RONDOM	In de buurt van
BEPALEN	Met palen afzetten
BEWIJZEN	Aantonen
CONCERT	Muziekstuk
VOORUIT	Aansporing
BEGRAVEN	Overledene in een kist
POPULAIR	Bij velen in trek
EENVOUDIG	Niet ingewikkeld
GENERATIE	Alle individuen
GEVESTIGD	Al langer
GROEI	Groter worden
THEMA	Onderwerp
CANADA	Verkorting
HANDEL	Winkel
SPOREN	Met de trein reizen
PRODUCT	Uitkomst
GEZELLIG	Kenmerken hebbend
JAARLIJKS	Eenmaal
TECHNIEK	Bewerkingen
VOORSTEL	Hetgeen
BETEKENEN	Ergens voor staan
INDUSTRIE	Nijverheid
WERELDWIJD	Op globale schaal
ANTWOORDEN	Geven
BELACHELIJK	Lachwekkend
HERINNEREN	Opnieuw
OVEREENKOMST	Bindende afspraak
KWAAD	Onaangenaam
WINST	Verschil
BEIDEN	Treuzelen
LEAGUE	Engelse mijl
LENGTE	Grootste afmeting
STROOM	Rivier
GROEIEN	Groter worden
OPENING	Plaats
VERDEELD	In delen gescheiden
ALSJEBLIEFT	Als beleefde aandrang
PRESENTATIE	Aanbod
COACH	Touringcar
DUREN	Bepaalde tijd
LIEFST	Benadrukkend
ROEPEN	Met verheffing
STUDIO	Werkplaats
TERMIJN	Vast tijdstip
COLLEGA	Vak- of ambtgenoot
CONCEPT	Voorlopig ontwerp
INGEZET	Begonnen
KWESTIE	Probleem
OORZAAK	Datgene wat noodzakelijk
PROFIEL	Geheel van verlagingen
SPULLEN	Toebehoor van iemand
STERVEN	Overgaan
VERMELD	Genoemd in een bericht
VERTREK	Afgesloten deel
BEHOEFTE	Iets wat benodigd
PLATFORM	Bepaalde omgeving
RELATIEF	Beschouwd in vergelijking
TIJDSCHRIFT	Blad waarvan
WETENSCHAP	Zekerheid
HOEVEELHEID	Kwantiteit
TEGELIJKERTIJD	Op hetzelfde moment
BROOD	Meelproduct
BURGER	Inwoner van een stad
TERREIN	Stuk grond
TRAINER	Apparaat of systeem
TROUWEN	Aangaan
DOORGAAN	Plaatsvinden
EVENEENS	Ook
GEVANGEN	In hechtenis genomen
OPLOSSEN	Verdwijnen
BESPREKEN	Gesprek
VERDWIJNEN	Wegraken
CONTROLEREN	Inspecteren
ONMIDDELLIJK	Zonder uitstel
TECHNOLOGIE	Verzameling
BENEN	Van been vervaardigd
BOORD	Oever
KOKEN	Proces
LEEST	Houten of metalen vorm
BEGRIP	Verstaan
CRISIS	Zware noodsituatie
ONTBIJT	Eerste maaltijd
OPENEN	Laten beginnen
SECTOR	Deel van een cirkel
SINGLE	Wedstrijd
BEZOCHT	Getroffen door onheil
PLANTEN	Taxonomische groep
STARTEN	Iets op gang brengen
KARAKTER	Aard
SNELHEID	Verhouding
VRESELIJK	Bijzonder erg
KANDIDAAT	Deelnemer
ONTMOETEN	Met iemand kennismaken
AANGENOMEN	Geadopteerd
BIJEENKOMST	Bij elkaar komen
MEERDERHEID	Groep
STEEN	Harde stof
TALEN	Verlangen naar
GEBREK	Tekort
HIERIN	Aanwijzend
HOUTEN	Gemaakt
KLEREN	Kleding
MISSIE	Doeleind
OPNEMEN	In handen nemen
UITSLAG	Afloop
MINSTENS	Met als minimum
VOORDEEL	Profijt
BEHOORLIJK	Flink
UITDAGING	Daad gericht
AFBEELDING	Grafisch beeld
DEMOCRATIE	Staatsvorm
ONDERWERPEN	Zijn gezag vestigen
RUZIE	Toestand
VELEN	Tolereren
VISSEN	Vis proberen te vangen
ZWEDEN	Huid prepareren
HIEROVER	Over dit
NOGMAALS	Nog een keer
WORKSHOP	Gelegenheid
BIBLIOTHEEK	Plaats
LAGER	Constructie die er
SHIRT	Hemdachtig kledingstuk
OCEAAN	Zeer grote zee
OPROEP	Dringende vraag
VERZET	Handelingen gericht
WAARNA	Vragend
BEWEGEN	Van plaats veranderen
ERNSTIG	Zonder grappen
KABINET	Plaats
MACHINE	Mechanisme dat een vorm
THEORIE	Hypothese
BEHOUDEN	Iets niet verliezen
AANVALLEN	Aangrijpen
BESCHERMD	Beveiligd tegen gevaar
VERTREKKEN	Weggaan
GOEDEMORGEN	Groet
VERGELIJKING	Betrekken
AGENT	Werkzame stof
STRAF	Maatregel
TROUW	Zich houden
AANBOD	Voorradig zijn
AGENDA	Notitieboek
KANAAL	Gegraven waterweg
STENEN	Gemaakt van steen
KORTING	Reductie in prijs
MEEDOEN	Tegelijk
MEESTER	Iemand die macht
PRAKTIJK	Lessen
DEELNAME	Meedoen
BESTELLEN	Afspreken dat goederen
SINDSDIEN	In de tijd
INSPIRATIE	Gevoel
BREED	Van grote afmeting
FORUM	Plein in het centrum
PLOEG	Groep personen
