NON	Kloosterzuster	Zuster	Geestelijke
KNAP	Slim	Aantrekkelijk	Pienter
PUUR	Zuiver	Onvervalst	Ongemengd
DAS	Nekband	Marterdier	Strop
DEL	Ordinaire vrouw	Scheldwoord	Slons
NEK	Halsdeel	Keel	Achterhals
SMS	Tekstbericht	Appje	Berichtje
BUIK	Pens	Maagstreek	Ronding
DURF	Moed	Lef	Waag
MODE	Trend	Kledingstijl	Rage
MOED	Durf	Lef	Dapperheid
ZAND	Kwarts	Strandgrond	Korrels
ZONE	Gebied	Sector	District
ZWAK	Krachteloos	Teer	Broos
DJ	Platendraaier	Muziekmixer	Discjockey (afk.)
GAY	Homoseksueel	Homofiel	Andersgeaard
VET	Reuzel	Dik	Gaaf
PAND	Gebouw	Waarborg	Slip
ZIJDE	Zij	Kant	Satijn
AIR	Voorkomen	Houding	Sfeer
FAN	Aanhanger	Bewonderaar	Supporter
BORD	Schaal	Krijtplaat	Dienblad
GAUW	Vlug	Weldra	Rap
KAAS	Zuivelproduct	Wiel	Nederlander
KLOK	Uurwerk	Bel	Wekker
MAAL	Etentje	Keer	Portie
AD	Reclame	Mannennaam	Naar
AH	Uitroep	Verrassing	Supermarkt (afk.)
ROB	Zeehond	Jongensnaam	Zeezoogdier
BACK	Verdediger	Achterspeler	Terug
DEAL	Overeenkomst	Afspraak	Koopje
LOON	Salaris	Verdienste	Beloning
LUXE	Weelde	Overvloed	Chic
MELK	Zuivel	Witte drank	Room
BTW	Belasting (afk.)	Omzetbelasting	Fiscale heffing
NAT	Vochtig	Doorweekt	Klam
TEL	Ogenblik	Moment	Reken
MAKE	Produceren	Creëren	Fabriceren
NEEF	Zoon van oom	Verwant	Familielid
DAM	Waterkering	Dijk	Koningsstuk
JOB	Baan	Klus	Bijbelfiguur
OOM	Vaders broer	Ome	Nonkel
BLAD	Tijdschrift	Loof	Plank
BLOK	Kubus	Bouwsteen	Wooncomplex
RAMP	Catastrofe	Onheil	Tragedie
PA	Vader	Huisvader	Verwekker
BAS	Lage stem	Zanger	Jongensnaam
KIP	Hoen	Pluimvee	Legvogel
WOW	Verbazing	Tjonge	Jeetje
AARD	Karakter	Natuur	Inborst
ADAM	Eerste mens	Bijbelfiguur	Amsterdam
GRAS	Weide	Groen tapijt	Wiet
KERN	Middelpunt	Nucleus	Essentie
HEL	Onderwereld	Verdoemenis	Duivelsoord
POT	Kruik	Inzet	Lesbienne
FILE	Opstopping	Drukte	Stremming
JURY	Beoordelaars	Rechters	Panel
MINI	Klein	Piepklein	Compact
NICK	Bijnaam	Gebruikersnaam	Pikken
ROCK	Muziekstijl	Gitaarmuziek	Bandmuziek
TAXI	Huurauto	Voertuig	Personenauto
DVD	Schijfje	Filmschijf	Schijf (afk.)
LIJF	Lichaam	Romp	Gestalte
HIT	Succesnummer	Populair lied	Ponyras
PIK	Houweel	Mannelijk lid	Penis
DOOS	Kartonnen bak	Container	Schaamdeel
LADY	Dame	Vrouwe	Mevrouw
SAAI	Vervelend	Eentonig	Suf
DON	Spaanse titel	Maffiabaas	Heer
DUO	Tweetal	Koppel	Paar
ENG	Griezelig	Angstaanjagend	Naar
PEN	Schrijfstift	Stift	Veer
LIFT	Hijstoestel	Meerijden	Rit
SOEP	Bouillon	Vloeibaar eten	Consommé
ES	Loofboom	Muzieknoot	Parkboom
OR	Goud	Werknemersraad	Metaalkleur
WC	Toilet	Closet (afk.)	Plee
NEP	Onecht	Vals	Imitatie
RAS	Diersoort	Bevolkingsgroep	Variëteit
BOEL	Hoop	Troep	Spullen
BRAK	Jachthond	Zilt	Katterig
FLES	Karaf	Flacon	Kruik
GEIL	Wellustig	Opgewonden	Verlekkerd
HOER	Prostituee	Lichtekooi	Scheldwoord
KEUS	Optie	Selectie	Voorkeur
TENT	Zeildak	Café	Schuilplaats
VENT	Kerel	Gozer	Man
EVA	Bijbelfiguur	Eerste vrouw	Vrouwennaam
GOLD	Goud	Edelmetaal	Blinkend
EI	Kiemcel	Ovaal voorwerp	Broedproduct
BOX	Luidspreker	Kinderhok	Opbergdoos
DIJK	Waterkering	Kade	Zeewering
PAN	Braadschaal	Kookgerei	Bakgerei
SLA	Bladgroente	Krop	Timmer
DUEL	Tweekamp	Treffen	Krachtmeting
GRAF	Rustplaats	Tombe	Zerk
KNOP	Toets	Kiem	Schakelaar
LACH	Gegiechel	Gulle grijns	Pret
RAAK	Trefzeker	Doeltreffend	Juist
ERE	Eerbetoon	Respect	Roem
MES	Lemmet	Snijwerktuig	Dolk
CHEF	Baas	Leidinggevende	Kok
GAAF	Intact	Onbeschadigd	Cool
JURK	Japon	Kledingstuk	Kleedje
NOOD	Gebrek	Ellende	Armoede
STOM	Dom	Sprakeloos	Onnozel
BOY	Jongen	Knaap	Kereltje
HAL	Entree	Loods	Vestibule
KOK	Keukenchef	Bereider	Keukenmeester
LUI	Vadsig	Loom	Lieden
BEK	Snavel	Muil	Smoel
ROT	Bedorven	Vergaan	Ontbinding
AU	Pijnkreet	Jeetje	Kreet
END	Uiteinde	Slot	Stuk
NUL	Niks	Cijfer 0	Waardeloos
BEER	Roofdier	Knuffeldier	Mannetjesvarken
BOND	Vereniging	Alliantie	Federatie
BRIL	Oogglazen	Montuur	Hulpmiddel
DOWN	Somber	Depressief	Terneergeslagen
KEEL	Strot	Gorgel	Hals
KLAP	Tik	Mep	Knal
PLAT	Vlak	Effen	Horizontaal
VERS	Fris	Ongebruikt	Dichtregel
ZOUT	Natrium	Strooisel	Pekel
HO	Stop	Halt	Wacht
RE	Muzieknoot	Tweede noot	Voorvoegsel
ZOO	Dierentuin	Safaripark	Diergaarde
BELT	Stortplaats	Afvalhoop	Telefoneert
FORT	Bolwerk	Vesting	Burcht
VUIL	Smerig	Onrein	Afval
MIX	Mengsel	Combinatie	Melange
KEES	Hondenras	Jongensnaam	Pruimtabak
MORE	Poosje	Ogenblik	Meer
ROEP	Kreet	Reputatie	Schreeuw
GE	Ouderwets u	Persoonlijk vnw	Dialect jij
LAB	Proefruimte	Onderzoeksruimte	Werkplaats
LIJK	Dood lichaam	Kadaver	Overledene
CENT	Geldstuk	Muntje	Kopergeld
PROF	Hoogleraar	Docent	Beroeps
AI	Luiaard	Kunstmatig brein	Pijnkreet
