REL	Opstootje	Herrie	Tumult
XTC	Partydrug (afk.)	Pil (afk.)	Drugssoort (afk.)
BODE	Boodschapper	Koerier	Deurwaarder
BROM	Gezoem	Motorgeluid	Laag geluid
DEUK	Vervorming	Bobbel	Inkeping
LADE	Schuifvak	Bureaula	Opbergvak
SARI	Indiase jurk	Wikkelkleed	Vrouwenkledij
LOC	Treinmotor	Trekker (trein)	Spoorvoertuig
ZOT	Dwaas	Nar	Gek
GESP	Riemsluiting	Beugel	Schoensluiting
MARE	Gerucht	Verhaal	Nieuwtje
MIMI	Kattennaam	Poezennaam	Huisdiernaam
JEU	Zwier	Elan	Boulespel
NAW	Adresdata (afk.)	Naamdata (afk.)	Klantdata (afk.)
BIEB	Boekerij	Uitleencentrum	Bibliotheek
GAAL	Huidkloofje	Scheurtje	Splitje
KOTS	Braaksel	Overgeefsel	Maaginhoud
OASE	Woestijnplek	Palmenplek	Waterbron
SAGA	Heldenverhaal	Epos	Familiekroniek
FOK	Voorzeil	Kliever	Bootzeil
POS	Zoetwatervis	Visje	Baarsachtige
ACID	Zuur (chem.)	LSD (slang)	Muziekstijl
AURA	Uitstraling	Lichtkring	Energieveld
BLOW	Jointtrekje	Wietsigaret	Trekje (wiet)
DISK	Computerschijf	Opslagmedium	Harde schijf
KART	Racewagentje	Skelter	Circuitvoertuig
LANS	Steekwapen	Ridderwapen	Speer
MORA	Klankeenheid	Taalterm	Lettergreepdeel
TB	Tering (afk.)	Longziekte (afk.)	Ziekte (afk.)
HIJS	Boel	Trek omhoog	Lading
NAR	Grappenmaker	Dwaas	Clown
CITO	Schooltoets	Dringend (Lat.)	Spoedmelding
DONG	Vietnamese munt	Munteenheid	Geld uit Vietnam
JUNK	Rommel	Afval	Verslaafde
KIEL	Scheepsbodem	Werkjasje	Overall
KIEM	Beginstadium	Bacterie	Oorsprong
KLOS	Garenspoel	Draadhouder	Houtblok
KRAT	Kist	Flessenbak	Vervoerdoos
LOCO	Generiek medicijn	Gek (Spaans)	Plaatsvervangend
PILS	Biersoort	Blond bier	Getapt drankje
ROOT	Beheerder (comp.)	Hoofdmap	Plantwortel
TUNE	Melodie	Deuntje	Autoaanpassing
ZEIK	Plas	Urine (plat)	Gezeur
BEHA	Bustehouder	Ondergoed	BH (voluit)
BEUL	Scherprechter	Folteraar	Tiran
GLEE	Vreugde	Blijdschap	Koorzang
KOOG	Ingedijkt land	Drooggelegd land	Polder
MALS	Sappig	Zacht (vlees)	Teder
ROES	Bedwelming	Highgevoel	Kick
IA	Ezelgeluid	Balkgeluid	Hi-ha
TRI	Drie (voorv.)	Duursport (kort)	Drievoudig (afk.)
MATA	Oog (Maleis)	Spion (kort)	Maleis woord
PAIR	Kaartenpaar	Pokerterm	Setje (kaarten)
POPE	Orth. priester	Geestelijke	Kerkelijk leider
SPAR	Naaldboom	Mast (paal)	Tentstok
TROS	Vruchtenbos	Meertouw	Bosje (bloem)
VETO	Blokkeerrecht	Afwijsrecht	Njet (VN)
MEP	Klap	Tik	Draai om oren
BOBO	Hoge baas	Kopstuk	Bonze
FOOI	Drinkgeld	Extraatje	Beloning (geld)
GEUS	Ruw ijzer	Opstandeling	Zeerover
GIER	Aasvogel	Drijfmest	Slippen (auto)
IKKE	Persoonlijk vnw	Ikzelf	Kinderlijk woord
KAFT	Boekomslag	Omslag	Beschermlaag
POEN	Geld (slang)	Poet	Knikkers
SPIL	Draaipunt	Draaias	Middelpunt
WALS	Wegwerktuig	Dansstijl	Zware rol
BIS	Toegift	Herhaalteken	Extra (adres)
