TOPO	Verklikker	Spion	Schoolvak
IJZIG	IJskoud	Kil	Vijandig
WIJLE	Poosje	Tijdje	Ogenblik
LEL	Klap	Mep	Kwab
HORT	Ruk	Schok	Stoot
NAAF	Wielhart	Centrum
REEL	Dans	Filmrol	Spoel
RIEK	Mestvork	Hooivork	Vork
ROEF	Kajuit	Stuurhut	Dekhuis
STEE	Plaats	Oord	Locatie
YONI	Vulva	Schoot
MUL	Los	Zanderig	Kruimelig
AWEL	Welnu	Kom aan	Nou
FADE	Vervaging	Kapsel	Overgang
FUUT	Duikvogel	Kuifvogel	Vogel
LEUT	Pret	Lol	Plezier
SNUF	Vleugje	Spoortje	Zweempje
SUMO	Japanse sport	Worstelen
TOSS	Muntworp	Opgooi	Kruis of munt
RIS	Bundel	Bos	Bosje
WAK	IJsgat	Polynia	Opening
DRAF	Trot	Looppas	Spoeling
DREK	Mest	Vuil	Drab
KRAK	Gekraak	Knak	Klap
PIPS	Bleek	Vaal	Ziekjes
POOK	Vuurijzer	Hendel	Stang
SOOS	Sociëteit	Club	Clubhuis
DRA	Spoedig	Gauw	Straks
KIF	Hasj	Gaaf	Top
NIJD	Afgunst	Jaloezie	Naijver
KWAB	Vetmassa	Lel	Klomp
OPOE	Oma	Omaatje	Grootje
SOU	Muntstuk	Frans geldstuk	Cent
FLOS	Tandzijde	Garen
GAAP	Geeuw	Open mond
HOEN	Kip	Gevogelte	Vogel
KLAK	Tik	Klik	Klap
STEN	Vuurwapen	Geweer
VAAN	Banier	Vlag	Wimpel
BRIK	Zeilschip	Rijtuig	Koets
FETA	Griekse kaas	Kaassoort	Witte kaas
NEG	Sla over	Mijd
TET	Letter	Isisknoop	Amulet
ACRE	Landmaat	Stad in Israël
AMOK	Razernij	Dolheid	Woede
PRUL	Rommel	Flutding	Kitsch
TRAY	Dienblad	Blad	Schaal
SOF	Afgang	Flop	Fiasco
ACME	Toppunt	Climax	Piek
BLAF	Waf	Woef	Keffend geluid
BLES	Witte vlek	Kopvlek
FUGA	Canon	Polyfonie
GUUR	Kil	Bar	Koud
POTS	Grap	Mop	Kwinkslag
SELA	Rots	Rustteken	Bijbelse rots
SLAB	Eetdoekje	Kwijldoek	Voordoek
TEUG	Slok	Dronk	Mondvol
ALP	Bergweide	Weide	Hoogweide
KIR	Aperitief	Cocktail	Wijndrank
URE	Uur	Tijdstip	Klokuur
DRAM	Armeense munt	Slokje whisky	Valuta
FITS	Fiets	Rijwiel	Trapper
WRAT	Bultje	Knobbel
ZONA	Rode uitslag	Ziekte
ALIA	Emigratie	Terugkeer
GRUT	Brokjes	Gruis	Boekweit
GUST	Kalfloos	Melkloos
SITU	Ter plaatse	Plek	Aldaar
POF	Bolling	Plooi	Krediet
GORS	Zangvogel	Kwelder	Schor
KRIJN	Mansnaam	Voornaam
OKRA	Groente	Plant	Gombo
REEK	Hooivork	Mestvork	Vork
JOTA	Greintje	Zier	Spaanse dans
OKER	Aardkleur	Geelbruin	Kleurstof
TORN	Haal los	Woede	Rafel
MUI	Geul	Doorbraak	Kreek
FUIK	Viskorf	Vangnet	Val
KRIK	Vijzel	Hefboom
AKS	Bijl	Werktuig
GLO	Onderwijs (afk.)	School (afk.)
PST	Sst	Stil	Hé
FOOR	Kermis	Jaarmarkt	Vermaak
KOPS	Korte kant	Frontaal
POET	Buit	Roof	Gestolen goed
RINK	IJsbaan	Omtrek	Kring
VORT	Vooruit	Voort	Hup
ZOZO	Matig	Niet best	Pover
BRIO	Elan	Vuur	Verve
COUR	Rechtbank	Hof
HOMP	Brok	Stuk	Bonk
STAG	Want	Hert	Stut
DOUW	Duw	Zet	Stoot
GAAI	Vogel	Zangvogel	Bosvogel
MURW	Week	Afgemat	Zacht
NEET	Luizenei	Luisei
RIAL	Iraanse munt	Perzische munt	Golfmunt
VREK	Krent	Schraper
AAM	Wijnmaat	Vatmaat	Vochtmaat
WAF	Woef	Blaf	Geblaf
ROUX	Sausbasis	Mengsel
UWER	Bezittelijk vnw	Van u	Genitief vorm
ALK	Zeevogel	Duikvogel	Vogel
ECU	Europese munt	Rekenmunt
BOES	Veestal	Stal	Koestal
PEDO	Dronken	Zat	Lam
RONG	Stut	Zijstijl
TEAK	Hardhout	Houtsoort	Tropisch hout
WULP	Vogel	Waadvogel
DUF	Saai	Oubollig	Stoffig
SNIT	Coupe	Model	Vorm
TUIT	Uitloop	Snuit
AIO	Opleiding (afk.)	Onderzoek (afk.)
LOM	Onderwijs (afk.)	School (afk.)
DOEM	Onheil	Vloek	Ondergang
FLUT	Miezerig	Nietig
HOUW	Klap	Hakslag	Kap
PUTS	Emmer	Bak
VEI	Mals	Vet	Sappig
LOUW	Januari	Eerste maand
TUUT	Toeter	Zoen	Kusje
DUT	Sluimer	Tukje	Slaapje
BACO	Drankje	Cocktail	Mixdrank
BARK	Zeilschip	Schip	Vaartuig
GIEK	Boom	Mastdeel	Rondhout
HEEP	Snoeimes	Hakmes
LEST	Laatst	Tenslotte	Eindelijk
MOEI	Tante	Moeder's zus
TEUT	Kletskous	Prater	Zat
YELL	Kreet	Leuze	Schreeuw
GRIF	Vlot	Prompt	Direct
KNAR	Botterik	Brompot	Sok
NEUT	Borrel	Slokje	Glaasje
TULE	Gaas	Kantstof	Netstof
SADO	Rijtuigje	Karretje	Ponykar
LBO	Vakschool (afk.)	Onderwijs (afk.)
ANTE	Inzet	Pilaster
ATOL	Koraalrif	Eiland	Ringrif
COAX	Kabel (afk.)	Snoer (afk.)
LOET	Werktuig	Apparaat
RUIF	Hooirek	Voederbak	Voerbak
