word	current_clue
RECHTSTREEKS	Zonder omwegen
VOLOP	In ruime mate
ZACHT	Aangenaam
FIGUUR	Afbeelding
GEDULD	Rust en bereidheid
LIEGEN	Eenvoudig kaartspel
SCHERM	Wat dient om te zorgen
WETTEN	Aanscherpen van een mes
ZANGER	Iemand die zingt
EXTERNE	Van buitenaf
HERSTEL	Terugkeer
OVERLEG	Beraad
SALARIS	Regelmatige
VERRAST	Verbaasd
DANKBAAR	Erkentelijk
PROMOTIE	Verhoging in rang
DEELNEMEN	Aan
TRANSPORT	Vervoer van voorwerpen
ZEKERHEID	Onderpand
LUCHTHAVEN	Vliegveld
VERKRIJGBAAR	Te koop
VEROORZAKEN	Oorzaak zijn van
