GEACCEPTEERD	Aanvaard	Erkend
VERLAGEN	Korten	Reduceren
DOELGROEP	Publiek	Afnemers
DOORLOPEN	Vervolgen	Afmaken
HYPOTHEEK	Lening	Onderpand
REPAREREN	Maken	Fiksen
TOEPASSEN	Gebruiken	Benutten
VERKENNEN	Speuren	Ontdekken
AANVULLING	Extra	Bijlage
BINNENLAND	Eigen land	Vasteland
DIERENTUIN	Zoo	Faunapark
GEAARDHEID	Natuur	Aanleg
INSPECTEUR	Speurder	Agent
WACHTWOORD	Code	Password
OVERTUIGING	Mening	Standpunt
KINDEROPVANG	Crèche	Oppas
NATUURGEBIED	Reservaat	Park
DRIVE	Rit	Ambitie	Oprit
EMAIL	Glazuur	Berichtje
PENIS	Roede	Lid
STRIP	Cartoon	Reep
TROON	Zetel	Kroon
EXPORT	Uitvoer	Handel
HAKKEN	Houwen	Kappen
MOEDIG	Dapper	Kloek
ORKEST	Ensemble	Kapel
SCHILD	Afweer	Dekking
TIENDE	Na de negende	Kerkgeld
ZOLDER	Vliering	Dakruimte
CONTINU	Steeds	Gestaag
OVERSTAP	Transfer	Wissel
VERTONEN	Tonen	Uitzenden
AGRESSIEF	Vijandig	Fel
UITKERING	Toelage	Steun
AANTREKKEN	Boeien	Dragen
ELEKTRISCH	Op stroom	Geladen
TERUGKOMEN	Weerkeren	Herhalen
INSTALLEREN	Plaatsen	Monteren
OVERTUIGEND	Krachtig	Sterk
TOETSENBORD	Keyboard	Klavier
GEGARANDEERD	Verzekerd	Zeker
LEKEN	Schenen	Amateurs
VUREN	Schieten	Vlammen
HONING	Zoetstof	Stroop
JEGENS	Tegenover	Ten opzichte
TURKEN	Osmanen	Aziatisch
GUNSTIG	Voordelig	Positief
ONNODIG	Overbodig	Nutteloos
OPLOPEN	Stijgen	Toenemen
SCHIJNEN	Lijken	Stralen
EVENVEEL	Gelijk	Net zoveel
GENOEGEN	Plezier	Lust
LOOPBAAN	Carrière	Werkleven
WELVAART	Voorspoed	Rijkdom
MERENDEEL	Grootste deel	Bulk
SATELLIET	Kunstmaan	Trabant
GELEIDELIJK	Langzaam	Stap voor stap
HERDENKING	Eerbetoon	Ceremonie
HUISHOUDEN	Gezin	Familie
LUCHTMACHT	Leger	Airforce
OVERDRACHT	Transfer	Afgifte
UITBRENGEN	Uitgeven	Lanceren
PSYCHOLOGIE	Zielkunde	Vakgebied
ZENUWACHTIG	Nerveus	Gespannen
BEDRIJFSLEVEN	Industrie	Economie
SCHIEREILAND	Landtong	Land in zee
BLANK	Wit	Leeg
FUSIE	Samengaan	Overname
KRING	Cirkel	Groep
SUITE	Luxekamer	Verblijf
ZWEET	Vocht	Gezwoeg
ARREST	Hechtenis	Vonnis
COLUMN	Rubriek	Zuil
CYCLUS	Kringloop	Reeks
MOTIEF	Reden	Patroon
ORKAAN	Storm	Cycloon
PARADE	Optocht	Vertoon
TABLET	Pilletje	Medicijn
TROOST	Sterkte	Steun
VERSUS	Tegen	Contra
WOUTER	Voornaam	Naam
ZWAARD	Wapen	Sabel	Kling
AFFAIRE	Zaak	Kwestie	Relatie
GERUCHT	Roddel	Praatje
GEWEZEN	Voormalig	Ex
GROENTE	Gewas	Vega-kost
INBRAAK	Diefstal	Overval
MEDICIJN	Pil	Middel
PLAFOND	Zoldering	Maximum
VOORAAN	Eerst	Op kop
AGRESSIE	Woede	Geweld
BENOEMEN	Aanwijzen	Vernoemen
DIRECTIE	Bestuur	Leiding
HOOFDROL	Titelrol	Sterrol
NEUTRAAL	Objectief	Kleurloos
ONDERDAK	Woning	Verblijf
SLAVERNIJ	Knechting	Horigheid
WEKELIJKS	Elke week	Periodiek
ZODOENDE	Daardoor	Aldus
DOORBRAAK	Wending	Succes
EINDSTAND	Slotstand	Uitslag
SCHRIKKEN	Choqueren	Sidderen
VERMELDEN	Noemen	Aanhalen
VROUWELIJK	Feminien	Teer
PROPAGANDA	Reclame	Hetze
VERHUIZING	Vertrek	Nieuw huis
INTELLIGENT	Slim	Pienter
NOORDOOSTEN	Richting	NO (afk.)
OVERTREDING	Delict	Misdrijf
TEGENHOUDEN	Stoppen	Blokkeren
VOORSPELLEN	Raden	Gissen
UITZONDERLIJK	Bijzonder	Uniek
VERSCHULDIGD	Schuldig	Te betalen
CHIPS	Snack	Knabbels
CLOSE	Hecht	Nauw
GEVEL	Voorkant	Frontmuur
JAGER	Stroper	Vliegtuig
NATIE	Volk	Land
POTJE	Wedstrijd	Bakje
SCENE	Toneel	Fragment
BALKON	Terras	Uitbouw
BOTTEN	Beenderen	Uitlopen
ENTREE	Ingang	Toegang
LOGICA	Denkleer	Verstand
OUTFIT	Kledij	Tenue
PESTEN	Treiteren	Sarren
PIKKEN	Stelen	Happen
WALKER	Rollator	Looprek
ZUIVER	Puur	Schoon
CAPTAIN	Kapitein	Leider
CHECKEN	Natrekken	Testen
HORIZON	Einder	Kim
AFLEGGEN	Doorlopen	Wassen
BISSCHOP	Kerkvorst	Prelaat
ENERZIJDS	Ten eerste	Deels
INVOEREN	Instellen	Opstarten
KRUISING	Snijpunt	Hybride
SCHAFFEN	Regelen	Bieden
WOONHUIS	Woning	Pand
AANWIJZING	Hint	Tip
ACHTERAAN	Laatst	Onderaan
BEVALLING	Geboorte	Baring
INLEIDING	Intro	Voorwoord
PRAKTIJKEN	Methoden	Gewoonten
VERZETTEN	Schuiven	Weerstaan
BONDSCOACH	Trainer	Selecteur
ONGELUKKIG	Triest	Rampzalig
VERRICHTEN	Uitvoeren	Doen
VOETBALLEN	Trappen	Dribbelen
GEREEDSCHAP	Werktuig	Tuig
STRATEGISCH	Doordacht	Tactisch
DOELSTELLING	Ambitie	Streven
BOBBY	Agent	Smeris
DOSIS	Portie	Mate
HELEN	Genezen	Beter worden
KNOOP	Strik	Sluiting
