FRAK	Lange jas	Overjas	Kledingstuk
AMTO	School (afk.)	Opleiding (afk.)	Onderwijs (afk.)
ASLA	Nooit	Nimmer
BERD	Bord	Plank	Hout
BEUG	Vislijn	Vistuig
DUIG	Plank	Vatdeel	Staaf
FLOX	Sierplant	Bloem	Vlambloem
FRUL	Klein	Prul	Nietig
FULP	Fluweel	Pluche	Ruwe stof
GEJIJ	Jijen	Tutoyeren
GLIT	Loodoxide	Glazuur	Poeder
GLUI	Dekstro	Stro	Dekriet
GOJS	Niet joods	Heidens	Ongelovig
HAUW	Zaaddoos	Peul	Vruchtje
HUDO	Latrine	Wc	Plee
IJZEN	Griezelen	Huiveren	Rillen
JIJEN	Tutoyeren	Informeel praten	Jij zeggen
KESP	Draagbalk	Balk	Steunbalk
KIYU	Judorang	Judograad	Rang
KOEP	Trapkast	Kastje	Hok
LEAO	School (afk.)	Opleiding (afk.)	Onderwijs (afk.)
MEUN	Zeevis	Vis	Steenbolk
MOLM	Rot hout	Compost	Stof
MUIK	Zacht	Papperig	Slap
NAPI	Soort yam	Knolgewas	Knol
NOES	Scheef	Schuin	Krom
OXER	Hindernis	Sprong	Obstakel
PEDA	Tehuis	Pension	Opvang
PROL	Arbeider	Gewone man	Volk
SJAP	Borrel	Glaasje	Drankje
SLEG	Moker	Voorhamer	Grote hamer
SMIS	Smederij	Smidse	Werkhok
SNEB	Snavel	Bek	Eendenbek
SOMP	Moeras	Drasland	Veen
SPOG	Speeksel	Kwijl	Fluim
TRIJS	Takel	Hijstouw	Katrol
UIIG	Uiachtig	Scherp	Pikant
VUNS	Muf	Bedorven	Ranzig
WASI	Huis	Woning	Gebouw
WUFT	Frivool	Los	IJdel
YAWS	Huidkwaal	Ziekte	Zweer
YUCA	Cassave	Maniok	Knolgewas
ZEET	Daad	Handeling	Actie
ZERP	Grof	Ruw	Korrelig
ZIJIG	Flauw	Week
